FacilityID,TankName,CompartmentID,CompartmentName,CompartmentSubstanceStored,CompartmentCapacityGallons,OverfillPreventionBallFloatValve,OverfillPreventionFlowShutoffDevice,OverfillPreventionHighLevelAlarm,OverfillPreventionOther,OverfillPreventionUnknown,OverfillPreventionNotRequired,SpillBucketInstalled,ConcreteBermInstalled,SpillPreventionOther,SpillPreventionNotRequired,SpillBucketWallType,TankInterstitialMonitoring,TankAutomaticTankGaugingReleaseDetection,AutomaticTankGaugingContinuousLeakDetection,TankManualTankGauging,TankStatisticalInventoryReconciliation,TankTightnessTesting,TankInventoryControl,TankGroundwaterMonitoring,TankVaporMonitoring,TankSubpartKTightnessTesting,TankSubpartKOther,TankOtherReleaseDetection,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-138,Andy III Tanks 19-24,"Bldg 14513-14510 Andy III Tank Farm AAFB Yigo, GU",GEPA-UST-138,Hazardous Substance,T1-T6 x 26656729,,,,,,,X,,,,,,X,X,,,X,X,,X,,,,,,
GEPA-UST-139,Guam Memorial Hospital Authority,"850 Governor Carlos Camacho Rd Tamuning, GU",GEPA-UST-139,Hazardous Substance,1 x 1000,,,X,,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-141,NEX Autoport/ Minimart Service Station,"Bldg 1760 Marine Corps Drive Sanata rita, GU",GEPA-UST-141,"3 x Gasoline, 1 x Diesel","1 x 12000gas, 2 x 20000gas, 1 x 10000 diesel",,,,71SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-142,Applebee's Restaurant,"341 Chalan San Santonio Unit A Tamuning, GU",GEPA-UST-142,Diesel,1 x 600,,,,61SO Flapper,,,X,,,,,,,,,,,,,,,,X,,,
GEPA-UST-143,IHOP,"249 Chalan San Antonio Bldg 3 Tamuning, GU",GEPA-UST-143,Diesel,1 x 1000,,,,61SO Flapper,,,X,,,,,,,,,,,,,,,,X,,,
GEPA-UST-144,Ambros Incorporated,"124 Chalan Achote HArmon Industrial Park Tamuning, GU",GEPA-UST-144,"1 x Gasoline, 1 x Diesel","1 x 2000gas, 1 x 4000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-145,Westin Resort Guam,"105 Gun Beach Road Tamuning, GU",GEPA-UST-145,Diesel,1 x 8000,,,,61SO Flapper,,,X,,,,,,X,X,,,X,,,,,,,,,
GEPA-UST-044,Naval Hospital,"Bldg 5 Naval Regional Medical Center, Agana Heights, GU",GEPA-UST-044,Hazrdous Substance,1 x 2500,,,,,,,,,,,,,,,,,,,,,,,X,,,
GEPA-UST-045,Guam Regional Medical Facility,"133 Route 3 Dededo, GU 96929",GEPA-UST-045,Hazrdous Substance,1 x 550,,,,,,,,,,,,,,,,,,,,,,,X,,,
GEPA-UST-048,GIAA,"Chalan Pasheru Tamuning, GU",GEPA-UST-048,Hazrdous Substance,1 x 1000,,,,,,,,,,,,,,,,,,,,,,,X,,,
GEPA-UST-049,Red Horse Gas Station,"Ritidian Dededo, GU 96929",GEPA-UST-049,Hazrdous Substance,1 x 2000,,,,,,,,,,,,,,,,,,,,,,,X,,,
GEPA-UST-050,Marine Wing Support Squadron Facility,"AAFB North Ramp AAFB, Yigo, GU 96929",GEPA-UST-050,Hazrdous Substance,1 x 25000,,,,,,,,,,,,,,,,,,,,,,,X,,,
GEPA-UST-038,Former Martinez Service Station,"Lot 10 Block 1 Tract 109 Barrigada, GU 96913",GEPA--UST-038,"2 x Gasoline, 1 x Diesel","2 x 8000gas, 1 x 8000 diesel",X,,,,,,X,,,,,,,,,,,,,,,,,,,
GEPA-UST-043,Tumon Bay Capitol Hotel,"1448 Pale San Vitores St Taamuning, GU",GEPA-UST-043,Diesel,1 x 1000,,,,,,,,,,,,,,,,,,,,,,,,,,
