FacilityID,TankName,CompartmentID,CompartmentName,CompartmentSubstanceStored,CompartmentCapacityGallons,OverfillPreventionBallFloatValve,OverfillPreventionFlowShutoffDevice,OverfillPreventionHighLevelAlarm,OverfillPreventionOther,OverfillPreventionUnknown,OverfillPreventionNotRequired,SpillBucketInstalled,ConcreteBermInstalled,SpillPreventionOther,SpillPreventionNotRequired,SpillBucketWallType,TankInterstitialMonitoring,TankAutomaticTankGaugingReleaseDetection,AutomaticTankGaugingContinuousLeakDetection,TankManualTankGauging,TankStatisticalInventoryReconciliation,TankTightnessTesting,TankInventoryControl,TankGroundwaterMonitoring,TankVaporMonitoring,TankSubpartKTightnessTesting,TankSubpartKOther,TankOtherReleaseDetection,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-085,76 Airport Station,"Intersections of Rt1 & Rt10ATamunin,g GU",GEPA-UST-085,"2 x Gasoline, 1 x Diesel","1 x 10000gas, 1 x 12000gas, 1 8000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-086,76 Anigua Station,"Rt 1 Anigua, GU",GEPA-UST-086,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 10000 diesel",,,,61SO Flapper,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-087,76 Barrigada Station,"Intersection of Rt 8 & rt 10 Barrigada, GU 96913",GEPA-UST-087,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 10000 diesel",,,,61SO Flapper,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-088,76 Cabras Station,"Cabras Rd Rt 11 Lot 2 Lot 3A Tract 245 Cabras Island Piti, GU 96915",GEPA-UST-088,Gasoline,1 x 4000,,,,61SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-089,76 Dededo Station,"Rt 1 Dededo, GU 96929",GEPA-UST-089,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 10000 diesel",,,,61SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-090,76 Malojloj Station,"Rt 4 Inarajan, GU 96917",GEPA-UST-090,"2 x Gasoline, 1 x Diesel","2 x 8000gas, 1 x 6000 diesel",,,,61SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-091,76 Ocean Vista Station,"Intersection of Rt 1 & Rt 10B Tamuning, GU",GEPA-UST-091,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 10000 diesel",,,,61SO Flapper,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-092,76 Piti Station,"396 Marine Corps Drive Piti, GU 96915",GEPA-UST-092,Gasoline,"1 x 3000, 1 x 6000",,,,61SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-093,76 Sinajana Station,"Rt 4 Sinajana, GU",GEPA-UST-093,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 10000 diesel",,,,61SO Flapper,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-094,76 Ypao Station,"Intersection of Rt 1 & Rt 10B Tamuning, GU",GEPA-UST-094,"2 x Gasoline, 1 x Diesel","2 x 12000gas, 1 x 4000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,,,,,,,,,
GEPA-UST-095,Paradisu Estates,"Cross Island Road Rt 4A Talofofo, GU",GEPA-UST-095,Propane,1 x 1000,,,,,,,X,,,,,,,,,,,,,,,X,X,,,
GEPA-UST-096,Talo Verde Estates,"Ypao Road Tamuning, GU ",GEPA-UST-096,Propane,2 x 1000,,,,,,,X,,,,,,,,,,,,,,,X,X,,,
GEPA-UST-097,Bldg 303 NEX Autoport,"Bldg 303 Buktard Avenue NCTAMS Dededo, GU 96929",GEPA-UST-097,"3 x Gasoline, 1 x Diesel","1 x 12000gas, 2 x 20000gas, 1 x 10000 diesel",,,,71SO Flapper,,,X,,,,,X,X,X,,,X,X,,,,,,,,
GEPA-UST-099,University of Guam,"UOG Station Mangilao, GU",GEPA-UST-099,Diesel,"2 x 2500, 1 x 4000",,,,61SO Flapper,,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-100,East West Business Center,"744 North Marine Corps Drive Tamuning, GU",GEPA-UST-100,Diesel,"1 x 1000, 1 x 2500",,,,61SO Flapper,,,X,,,,,,,,,,,,,,,,,,,
GEPA-UST101,Pacific Star And Spa Resort,"627B Pale San Vitores Road Tamuning, GU",GEPA-UST-101,Diesel,2 x 15000,,,,61SO Flapper,,,X,,,,,,X,X,,,X,,,,,,,,,
GEPA-UST-102 ,Docomo Pacific Agana,"173 Aspinall Avenue Hagana, GU",GEPA-UST-102,Diesel,1 x 2500,,,,61SO Flapper,,,x,,,,,,X,X,,,,,,,,,,,,
GEPA-UST-103,Docomo Pacific Yona,"Lot 177-1 Pulantat 570 Chalan Teloforo Yona, GU",GEPA-UST-103,Diesel,1 x 8000,,,,61SO Flapper,,,X,,,,,X,X,X,,,X,,,,,,,,,
GEPA-UST-104,"Triple J Enterprises, Inc.","470 N Marine Corps Drive Tamuning, GU",GEPA-UST-104,"1 x Diesel, 1 x Used oil","1 x 3500 diesel, 1 x 1000 used oil",,,,61SO Flapper,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-105,MVP Business Complex,"T232 B21122 777 Rt 4 Sinajana, GU",GEPA-UST-105,Diesel,1 x 1000,,,,61SO Flapper,,,X,,,,,,,,,,,,,,,,,,,
GEPA-UST-106,GTA Mangilao Remote,"Intersection of Rt 10 & Rt 15 Mangilao, GU",GEPA-UST-106,Diesel,1 x 1200,,,,61SO Flapper,,,X,,,,,,,,,,X,,,,,,,,,
GEPA-UST-107,GTA Tumon Central Office,"624 N Marine Corps Drive Tamuning, GU",GEPA-UST-107,Diesel,1 x 6000,,,,71SO Flapper,,,X,,,,,X,,,,,X,,,,,,,,,
GEPA-UST-108 ,GTA Agana Central Office,"241 Martyr St Hagatna, GU",GEPA-UST-108,Diesel,1 x 4000,,,,61SO Flapper,,,X,,,,,X,,,,,X,,,,,,,,,
GEPA-UST-109,GTA Dededo Central Office,"Intersection of Rt 1 and Rt 27 Dededo, GU",GEPA0-UST-109,Diesel,1 x 4000,X,,,,,,X,,,,,,,X,X,,X,,,,,,,,,
GEPA-UST-110,AAFES Gas Station & Kiosk,"430 Army Drive Barrigada, GU 96913",GEPA-UST-110,Gasoline,"1 x 10000, 1 x 15000",,,X,,,,X,,,,,,X,X,X,,X,,,,,,,,,
