Permit Number,Facility Name,Address,City,Owner,Tank  Capacity/Substance,Date Installed,Facility Description
GEPA-UST-045,Onward Agana Beach Resort,445 Governor Carlos G. Camacho Road,Tamuning,"Onward Beach Resort Guam, Inc.",T1-4000 Diesel T2-1000 Diesel T3-6000 Diesel 9/95,1995-06-01 00:00:00,Commercial
GEPA-UST-049,Sinajana Mobil Service Station,Bldg 118 Chalan Canton Tutujan,Sinajana,MOBIL OIL GUAM INC.,T1-6000 Diesel T2-15000 Gas T3-8000 Gas,1995-05-01 00:00:00,Gas Station
GEPA-UST-051,Tamuning Mobil Service Station,Bldg 706 South Marine Corps Drive,Tamuning,MOBIL OIL GUAM INC.,"T1-8000 Gas T2-12000 Gas
T3-6000 Diesel",1990-05-01 00:00:00,Gas Station
GEPA-UST-052,Upper Tumon Mobil Service Station,422 North Marine Corps Drive,Tamuning,MOBIL OIL GUAM INC.,T1-10000 Diesel T2-10000 Gas T3-10000 Gas,1996-04-01 00:00:00,Gas Station
GEPA-UST-054,Yigo North Mobil Service Station,"214 Chalan Pale Ramon Haya, Route 1",Yigo,MOBIL OIL GUAM INC.,T1-10000 Gas T2-10000 Gas T3-10000 Gas T4-10000 Diesel,1996-10-01 00:00:00,Gas Station
GEPA-UST-055,Yigo Perez Acres Mobil Service Station,465 North Marine Corps Drive,Yigo,MOBIL OIL GUAM INC.,"T1-8000 Gas T2-10000 Gas
T3-10000 Diesel",2018-08-01 00:00:00,Gas Station
GEPA-UST-056,Yona Mobil Service Station,1552 North Kanton Tasi Street,Yona,MOBIL OIL GUAM INC.,"T1-6000 Gas T2-8000 Gas
T3-6000 Diesel T4-8000 Gas",1994-08-01 00:00:00,Gas Station
GEPA-UST-057,Ysengsong Mobil Service Station,Bldg 240 East Marine Corps Drive,Dededo,MOBIL OIL GUAM INC.,T1-12000 Gas T2-4000 Diesel T3-12000 Gas T4-8000 Gas,2003-07-01 00:00:00,Gas Station
GEPA-UST-058,Nissan Upper Tumon,1012 North Marine Corps Drive,Tamuning,Nissan Motor Corporation in Guam,"T1-4000 Gas
T2-1000 Used Oil",2016-08-01 00:00:00,Auto  Dealership
GEPA-UST-059,Oka Towers Condominium,"Suite 1514, 162 Western Blvd",Tamuning,Oka Towers Condominium Homeowners Association,T1-1000 Diesel,1989-01-01 00:00:00,Residential
GEPA-UST-060,Onward Mangilao Golf Club,1810 Route 15 Pagat,Mangilao,"Onward Golf Resort Guam, Inc. dba OTGC",T1-550 Used Oil,1991-12-01 00:00:00,Other
GEPA-UST-061,Onward Talofofo Golf Club,825 Route 4A,Talofofo,"Onward Golf Resort Guam, Inc. dba OTGC",T1-4000 Diesel T2-1000 Gas T3-1000 Gas T4-1000 Diesel T5-500 Used Oil,1992-12-01 00:00:00,Other
GEPA-UST-062,Pacific Islands Club Guam,210 Pale San Vitores Road,Tamuning,"Guam & Guam, Inc. dba Pacific Islands Club Guam",T1-4000 Diesel T2-4000 Diesel,1985-07-01 00:00:00,Other
GEPA-UST-063,Reflection  Center,"222 Chalan Santa Papa, Suite 304",Hagatna,REFLECTION  CENTER OWNERS ASSN.,T1-550 Diesel,1989-01-01 00:00:00,Commercial
GEPA-UST-064,Alupang Beach Club (IP&E),997 South Marine Drive,Tamuning,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-4000 Gas,1991-12-01 00:00:00,Commercial
GEPA-UST-065,Shell/Foody's Barrigada (IP&E),446 West Route 8,Barrigada,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-4000 Gas T2-4000 Gas
T3-4000 Diesel T4-4000 Gas T5-4000 Gas",1988-12-01 00:00:00,Gas Station
GEPA-UST-066,Shell Chalan Pago (IP&E),"160 North Chalan Kanton Tasi, Route 4",Chalan Pago,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-8000 Gas T2-8000 Gas
T3-4000 Diesel",1998-11-01 00:00:00,Gas Station
GEPA-UST-067,Shell/Foody's Dededo (IP&E),184 East Marine Corps Drive,Dededo,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-4000 Diesel T2-4000 Gas T3- 12000 Gas,2004-12-01 00:00:00,Gas Station
GEPA-UST-068,Shell/Foody's Hagatna (IP&E),"380 East Marine Corps Drive, ROUTE 1",Hagatna,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-12000 Gas T2-6000 Gas
T3-4000 Diesel",2005-05-01 00:00:00,Gas Station
GEPA-UST-146,Shell/Foody's Harmon (IP&E),1779 Route 16,Tamuning,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-8000 Gas T2-8000 Gas T3-
8000 Gas",2018-01-01 00:00:00,Gas Station
,,,,,,,
GEPA-UST-070,Hotel Nikko Guam (IP&E),245 Gun Beach Road,Tamuning,,T1-4000 Diesel T2-4000 Diesel,1991-12-01 00:00:00,Commercial
GEPA-UST-071,Shell/Foody's Mangilao (IP&E),480 South Route 10,Mangilao,"IP&E Holdings, LLC dba
IP&E Guam, Incoporated","T1-8000 Gas
T2-8000 Gas",1989-01-01 00:00:00,Gas Station
GEPA-UST-072,Shell/Foody's NCS (IP&E),"1822 NCS, Finegayan",Dededo,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-4000 Diesel T2-4000 Gas T3-8000 Gas,2002-01-01 00:00:00,Gas Station
GEPA-UST-140,Shell/Foody's Micro Mall/JIB (IP&E),"1355 Route 1
North Marine Corps Drive, upper Tumon",Tamuning,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-10000 Gas T2-10000 Gas
T3-8000 Gas T4-8000 Diesel",2014-03-01 00:00:00,Gas Station
GEPA-UST-073,Onward Mangilao Golf Course (IP&E),"1810 Route 15, Pagat",Mangilao,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-2500 Diesel T2-4000 Gas,1991-12-01 00:00:00,Gas Station
GEPA-UST-075,Shell Tamuning (IP&E),"180 Chalan San Antonio, Route 14",Tamuning,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-12000 Gas T2-12000 Gas T3-12000 Gas,1991-12-01 00:00:00,Gas Station
GEPA-UST-076,Shell Tiyan (IP&E),"111 Tiyan, Route 10",Barrigada,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-4000 Gas T2-8000 Gas,2002-07-01 00:00:00,Gas Station
GEPA-UST-077,Shell/Foody's Tumon (IP&E),"280 North Marine Corps Drive, Route 1",Tamuning,"IP&E Holdings, LLC dba IP&E Guam, Incoporated",T1-8000 Gas T2-4000 Diesel T3-8000 Gas T4-8000 Gas,1989-12-01 00:00:00,Gas Station
GEPA-UST-078,Shell/Foody's Yigo (IP&E),"214 Chalan Pale Ramon Haya, ROUTE 1",Yigo,"IP&E Holdings, LLC dba IP&E Guam, Incoporated","T1-8000 Gas T2-12000 Gas
T3-6000 Diesel",1994-12-01 00:00:00,Gas Station
GEPA-UST-079,Sheraton Laguna Guam Resort,470 Farenholt Avenue,Tamuning,,T1-6000 Diesel T2-6000 Diesel,1989-11-30 00:00:00,Hotel
GEPA-UST-080,Hyatt Regency Guam (SPPC),115 San Vitores Road,Tamuning,South Pacific Petroleum Corporation,T1-10000 Diesel T2-10000 Diesel,1993-04-01 00:00:00,Commercial
GEPA-UST-081,Leo Palace Resort (SPPC),Mannengon  Hills,Yona,South Pacific Petroleum Corporation,"T1-1000 LPG T2-1000 LPG T3-500 LPG T4-6000 Gas
T5-6000 Diesel",1992-09-01 00:00:00,Commercial
