AltFacilityID,LocName,Latitude,Longitude
GEPA-UST-056,Yona Service Station (Mobil),13.412852,144.779194
GEPA-UST-056,Yona Service Station (Mobil),13.412852,144.779194
GEPA-UST-056,Yona Service Station (Mobil),13.412852,144.779194
GEPA-UST-056,Yona Service Station (Mobil),13.412852,144.779194
GEPA-UST-056,Yona Service Station (Mobil),13.412852,144.779194
GEPA-UST-057,Ysengsong Service Station (Mobil),13.513752,144.843313
GEPA-UST-057,Ysengsong Service Station (Mobil),13.513752,144.843313
GEPA-UST-057,Ysengsong Service Station (Mobil),13.513752,144.843313
GEPA-UST-057,Ysengsong Service Station (Mobil),13.513752,144.843313
GEPA-UST-058,Nissan Upper Tumon,13.512055,144.8118
GEPA-UST-058,Nissan Upper Tumon,13.512055,144.8118
GEPA-UST-059,Oka Towers Condominium,13.503619,144.808433
GEPA-UST-060,Onward Mangilao Golf Club,13.466438,144.841931
GEPA-UST-061,Onward Talofofo Golf Club,13.36223,144.740491
GEPA-UST-061,Onward Talofofo Golf Club,13.36223,144.740491
GEPA-UST-061,Onward Talofofo Golf Club,13.36223,144.740491
GEPA-UST-061,Onward Talofofo Golf Club,13.36223,144.740491
GEPA-UST-061,Onward Talofofo Golf Club,13.36223,144.740491
GEPA-UST-062,Pacific Islands Club Guam,13.502813,144.792472
GEPA-UST-062,Pacific Islands Club Guam,13.502813,144.792472
GEPA-UST-063,REFLECTIONS CENTER,13.475852,144.75678
GEPA-UST-064,Alupang Beach Club (IP&E),13.484255,144.7718
GEPA-UST-065,Shell Barrigada BK (IP&E),13.474652,144.783361
GEPA-UST-065,Shell Barrigada BK (IP&E),13.474652,144.783361
GEPA-UST-065,Shell Barrigada BK (IP&E),13.474652,144.783361
GEPA-UST-065,Shell Barrigada BK (IP&E),13.474652,144.783361
GEPA-UST-065,Shell Barrigada BK (IP&E),13.474652,144.783361
GEPA-UST-066,Shell Chalan Pago (IP&E),13.443458,144.767563
GEPA-UST-066,Shell Chalan Pago (IP&E),13.443458,144.767563
GEPA-UST-066,Shell Chalan Pago (IP&E),13.443458,144.767563
GEPA-UST-067,Shell Dededo (IP&E),13.513427,144.842794
GEPA-UST-067,Shell Dededo (IP&E),13.513427,144.842794
GEPA-UST-067,Shell Dededo (IP&E),13.513427,144.842794
GEPA-UST-068,Shell Hagatna (IP&E),13.477361,144.762297
GEPA-UST-068,Shell Hagatna (IP&E),13.477361,144.762297
GEPA-UST-068,Shell Hagatna (IP&E),13.477361,144.762297
GEPA-UST-070,Hotel Nikko Guam (IP&E),13.523097,144.804725
GEPA-UST-070,Hotel Nikko Guam (IP&E),13.523097,144.804725
GEPA-UST-071,Shell Mangilao (IP&E),13.440116,144.799702
GEPA-UST-071,Shell Mangilao (IP&E),13.440116,144.799702
GEPA-UST-072,Shell NCS (IP&E),13.565075,144.845294
GEPA-UST-072,Shell NCS (IP&E),13.565075,144.845294
GEPA-UST-072,Shell NCS (IP&E),13.565075,144.845294
GEPA-UST-073,Onward Mangilao Golf Course (IP&E),13.466438,144.84193
GEPA-UST-073,Onward Mangilao Golf Course (IP&E),13.466438,144.84193
GEPA-UST-075,Shell Tamuning (IP&E),13.489597,144.783891
GEPA-UST-075,Shell Tamuning (IP&E),13.489597,144.783891
GEPA-UST-075,Shell Tamuning (IP&E),13.489597,144.783891
GEPA-UST-076,Shell Tiyan (IP&E),13.469836,144.801088
GEPA-UST-076,Shell Tiyan (IP&E),13.469836,144.801088
GEPA-UST-077,Shell Tumon (IP&E),13.498786,144.797677
GEPA-UST-077,Shell Tumon (IP&E),13.498786,144.797677
GEPA-UST-077,Shell Tumon (IP&E),13.498786,144.797677
GEPA-UST-077,Shell Tumon (IP&E),13.498786,144.797677
GEPA-UST-078,Shell Yigo (IP&E),13.529963,144.885125
GEPA-UST-078,Shell Yigo (IP&E),13.529963,144.885125
GEPA-UST-078,Shell Yigo (IP&E),13.529963,144.885125
GEPA-UST-080,Hyatt Regency Guam (SPPC),13.512069,144.805633
GEPA-UST-080,Hyatt Regency Guam (SPPC),13.512069,144.805633
GEPA-UST-081,Leo Palace Resort (SPPC),13.414716,144.737083
GEPA-UST-081,Leo Palace Resort (SPPC),13.414716,144.737083
GEPA-UST-081,Leo Palace Resort (SPPC),13.414716,144.737083
GEPA-UST-081,Leo Palace Resort (SPPC),13.414716,144.737083
