FacilityID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-087,76 Barrigada Station,"Intersection of Rt 8 & rt 10 Barrigada, GU 96913",Active,Yes,,,,3,,1992-03-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-03-31 00:00:00,,,,
GEPA-UST-088,76 Cabras Station,"Cabras Rd Rt 11 Lot 2 Lot 3A Tract 245 Cabras Island Piti, GU 96915",Active,Yes,,,,1,,1991-11-29 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-11-29 00:00:00,,,,
GEPA-UST-089,76 Dededo Station,"Rt 1 Dededo, GU 96929",Active,Yes,,,,3,,1990-03-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1990-03-30 00:00:00,,,,
GEPA-UST-090,76 Malojloj Station,"Rt 4 Inarajan, GU 96917",Active,Yes,,,,3,,1992-04-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-04-30 00:00:00,,,,
GEPA-UST-091,76 Ocean Vista Station,"Intersection of Rt 1 & Rt 10B Tamuning, GU",Active,Yes,,,,3,,1992-08-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-08-31 00:00:00,,,,
GEPA-UST-092,76 Piti Station,"396 Marine Corps Drive Piti, GU 96915",Active,Yes,,,,2,,2010-01-29 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2010-01-29 00:00:00,,,,
GEPA-UST-093,76 Sinajana Station,"Rt 4 Sinajana, GU",Active,Yes,,,,3,,1991-10-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-10-30 00:00:00,,,,
GEPA-UST-094,76 Ypao Station,"Intersection of Rt 1 & Rt 10B Tamuning, GU",Active,Yes,,,,3,,1990-08-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1990-08-31 00:00:00,,,,
GEPA-UST-095,Paradisu Estates,"Cross Island Road Rt 4A Talofofo, GU",Active,Yes,,,,1,,2009-05-29 00:00:00,,Cathodically Protected SteeL,,,,,,X,,2009-05-29 00:00:00,,,,
GEPA-UST-096,Talo Verde Estates,"Ypao Road Tamuning, GU ",Active,Yes,,,,2,,2008-01-31 00:00:00,,Cathodically Protected Steel,x,,,,,,,2008-01-31 00:00:00,,,,
GEPA-UST-097,Bldg 303 NEX Autoport,"Bldg 303 Buktard Avenue NCTAMS Dededo, GU 96929",Active,Yes,,,,4,,2013-09-30 00:00:00,Double-walled,Polyethylene Tank Jacket,,,,,,X,,2013-09-30 00:00:00,,,,
GEPA-UST-099,University of Guam,"UOG Station Mangilao, GU",Active,Yes,,,,3,,1991-11-29 00:00:00,Double-walled,Cathodically Protected Steel,,,,,,X,,1991-11-29 00:00:00,,,,
GEPA-UST-100,East West Business Center,"744 North Marine Corps Drive Tamuning, GU",Active,Yes,,,,2,,1995-09-25 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1995-09-25 00:00:00,,,,
GEPA-UST101,Pacific Star And Spa Resort,"627B Pale San Vitores Road Tamuning, GU",Active,Yes,,,,2,,1986-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1986-12-31 00:00:00,,,,
GEPA-UST-102 ,Docomo Pacific Agana,"173 Aspinall Avenue Hagana, GU",Active,Yes,,,,1,,1994-02-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-01 00:00:00,,,,
GEPA-UST-103,Docomo Pacific Yona,"Lot 177-1 Pulantat 570 Chalan Teloforo Yona, GU",Active,Yes,,,,1,,1994-02-02 00:00:00,Double-walled,,,,,,FRP,,,1994-02-02 00:00:00,,,,
GEPA-UST-104,"Triple J Enterprises, Inc.","470 N Marine Corps Drive Tamuning, GU",Active,Yes,,,,2,,1994-02-03 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-03 00:00:00,,,,
GEPA-UST-105,MVP Business Complex,"T232 B21122 777 Rt 4 Sinajana, GU",Active,Yes,,,,1,,1994-02-04 00:00:00,,Bare Steel,,,,,,,,1994-02-04 00:00:00,,,,
GEPA-UST-106,GTA Mangilao Remote,"Intersection of Rt 10 & Rt 15 Mangilao, GU",Active,Yes,,,,1,,1994-02-05 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-05 00:00:00,,,,
GEPA-UST-107,GTA Tumon Central Office,"624 N Marine Corps Drive Tamuning, GU",Active,Yes,,,,1,,1994-02-06 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-06 00:00:00,,,,
GEPA-UST-108 ,GTA Agana Central Office,"241 Martyr St Hagatna, GU",Active,Yes,,,,1,,1994-02-07 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-07 00:00:00,,,,
GEPA-UST-109,GTA Dededo Central Office,"Intersection of Rt 1 and Rt 27 Dededo, GU",Active,Yes,,,,1,,1994-02-08 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-02-08 00:00:00,,,,
