FacilityID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-137,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",Active,Yes,,,,2,,1957-12-01 00:00:00,,Bare Steel,,,,,,,,1957-12-01 00:00:00,,,,
GEPA-UST-137,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",Active,Yes,,,,5,,1960-12-01 00:00:00,,Bare Steel,,,,,,,,1960-12-01 00:00:00,,,,
GEPA-UST-138,Andy III Tanks 19-24,"Bldg 14513-14510 Andy III Tank Farm AAFB Yigo, GU",Active,Yes,,,,6,,1984-12-01 00:00:00,,Epoxy Coated Steel,,X,,,,,,1984-12-01 00:00:00,,,,
GEPA-UST-139,Guam Memorial Hospital Authority,"850 Governor Carlos Camacho Rd Tamuning, GU",Active,Yes,,,,1,,2013-06-01 00:00:00,,Cathodically Protected Steel,,,,,,,,2013-06-01 00:00:00,,,,
GEPA-UST-141,NEX Autoport/ Minimart Service Station,"Bldg 1760 Marine Corps Drive Sanata rita, GU",Active,Yes,,,,4,,2013-07-22 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2013-07-22 00:00:00,,,,
GEPA-UST-142,Applebee's Restaurant,"341 Chalan San Santonio Unit A Tamuning, GU",Active,Yes,,,,1,,2014-07-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2014-07-01 00:00:00,,,,
GEPA-UST-143,IHOP,"249 Chalan San Antonio Bldg 3 Tamuning, GU",Active,Yes,,,,1,,2015-06-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2015-06-01 00:00:00,,,,
GEPA-UST-144,Ambros Incorporated,"124 Chalan Achote HArmon Industrial Park Tamuning, GU",Active,Yes,,,,2,,2015-04-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2015-04-01 00:00:00,,,,
GEPA-UST-145,Westin Resort Guam,"105 Gun Beach Road Tamuning, GU",Active,Yes,,,,1,,1992-02-01 00:00:00,,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-02-01 00:00:00,,,,
GEPA-UST-044,Naval Hospital,"Bldg 5 Naval Regional Medical Center, Agana Heights, GU",Active,Yes,,,,1,,2014-03-18 00:00:00,,,,,,,,,,2014-03-18 00:00:00,,,,
GEPA-UST-045,Guam Regional Medical Facility,"133 Route 3 Dededo, GU 96929",Active,,,,,1,,2014-03-05 00:00:00,,,,,,,,,,2014-03-05 00:00:00,,,,
GEPA-UST-048,GIAA,"Chalan Pasheru Tamuning, GU",Active,Yes,,,,1,,2011-08-01 00:00:00,,,,,,,,,,2011-08-01 00:00:00,,,,
GEPA-UST-049,Red Horse Gas Station,"Ritidian Dededo, GU 96929",Active,Yes,,,,1,,2006-12-01 00:00:00,,,,,,,,,,2006-12-01 00:00:00,,,,
GEPA-UST-050,Marine Wing Support Squadron Facility,"AAFB North Ramp AAFB, Yigo, GU 96929",Active,Yes,,,,5,,2000-06-01 00:00:00,,,,,,,,,,2000-06-01 00:00:00,,,,
GEPA-UST-038,Former Martinez Service Station,"Lot 10 Block 1 Tract 109 Barrigada, GU 96913",Active,Yes,,,,3,,1986-06-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1986-06-01 00:00:00,,,,
GEPA-UST-043,Tumon Bay Capitol Hotel,"1448 Pale San Vitores St Taamuning, GU",Active,Yes,,,,1,,2001-05-01 00:00:00,,,,,,,,,,2001-05-01 00:00:00,,,,
