FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
GEPA-UST-129,,First Hawaiian Bank,"400 Rt 8 MongMong Maite Branch MongMong, GU",GEPA-UST-129,,U.S Suction,,X,,X,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,X,
GEPA-UST-130,,Guam Homeland Security/OCD,"221-B Chalan Payasyo Agana Heights, GU",GEPA-UST-130,,Safe Suction,X,,,X,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,X,
GEPA-UST-131,,Skilled Nursing Unit,"449 North Sabana Drive Barrigada, GU 96913",GEPA-UST-131,,US Suction,,X,,X,,,,,,,,,,,,,Double-walled,,,,X,X,,,,,,,,,,,,,
GEPA-UST-132,,Mental Health and Substance Abuse,"790 Gov Carlos G Camacho Rd Tamuning, GU",GEPA-UST-132,,Safe Suction,X,,,,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,X,
GEPA-UST-135,,Layon Landfill,"1130 Chalan Layon Inarajan, GU 96917",GEPA-UST-135,,Preesurized,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
GEPA-UST-137,,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",GEPA-UST-137,,Pressurized,,,X,,,,X,,,,,,,,,,Cathodically Protected,,X,,X,X,,,,,,,,,,,,,
GEPA-UST-137,,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",GEPA-UST-137,,Pressurized,,,X,,,,X,,,,,,,,,,Cathodically Protected,,X,,X,X,,,,,,,,,,,,,
GEPA-UST-137,,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",GEPA-UST-137,,Pressurized,,,X,,,,X,,,,,,,,,,Cathodically Protected,,X,,X,X,,,,,,,,,,,,,
GEPA-UST-137,,Guam Area Fuel Division,"Bldg 1700 Marine Corps Drive Piti, GU 96915",GEPA-UST-137,,Pressurized,,,X,,,,X,,,,,,,,,,Cathodically Protected,,X,,X,X,,,,,,,,,,,,,
GEPA-UST-138,,Andy III Tanks 19-24,"Bldg 14513-14510 Andy III Tank Farm AAFB Yigo, GU",GEPA-UST-138,,Pressurized,,,X,,,,X,,,,,,,,,,Cathodically Protected,,,,X,X,,,,,,,,,,,,,
GEPA-UST-139,,Guam Memorial Hospital Authority,"850 Governor Carlos Camacho Rd Tamuning, GU",GEPA-UST-139,,Gravity Fed,,,,X,,,,,,,,,,,,,Double-walled,,,,X,X,,,,,,,,,,,,,
GEPA-UST-141,,NEX Autoport/ Minimart Service Station,"Bldg 1760 Marine Corps Drive Sanata rita, GU",GEPA-UST-141,,Pressurized,,,X,X,,,,,,,,,,,,,Double-walled,,X,,X,X,,,,,,,,,,,,,
GEPA-UST-142,,Applebee's Restaurant,"341 Chalan San Santonio Unit A Tamuning, GU",GEPA-UST-142,,Safe Suction,X,,,X,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,X,
GEPA-UST-143,,IHOP,"249 Chalan San Antonio Bldg 3 Tamuning, GU",GEPA-UST-143,,Safe Suction,X,,,X,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,X,
GEPA-UST-144,,Ambros Incorporated,"124 Chalan Achote HArmon Industrial Park Tamuning, GU",GEPA-UST-144,,Pressurized,,,X,X,,,,,,,,,,,,,Double-walled,,X,,,,,,,,,,,,,,,,
GEPA-UST-145,,Westin Resort Guam,"105 Gun Beach Road Tamuning, GU",GEPA-UST-145,,US Suction,,X,,X,,,,,,,,,,,,,Double-walled,,,X,X,X,,,,,,,,,,,,,
GEPA-UST-044,,Naval Hospital,"Bldg 5 Naval Regional Medical Center, Agana Heights, GU",GEPA-UST-044,,Uknown,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X
GEPA-UST-045,,Guam Regional Medical Facility,"133 Route 3 Dededo, GU 96929",GEPA-UST-045,,Uknown,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X
GEPA-UST-048,,GIAA,"Chalan Pasheru Tamuning, GU",GEPA-UST-048,,Uknown,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X
GEPA-UST-049,,Red Horse Gas Station,"Ritidian Dededo, GU 96929",GEPA-UST-049,,Uknown,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X
GEPA-UST-050,,Marine Wing Support Squadron Facility,"AAFB North Ramp AAFB, Yigo, GU 96929",GEPA-UST-050,,Uknown,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X
GEPA-UST-038,,Former Martinez Service Station,"Lot 10 Block 1 Tract 109 Barrigada, GU 96913",GEPA--UST-038,,Pressurized,,,X,X,,,,,,,,,,,,,Double-walled,,,,,,,,,,,,,,,,,,
GEPA-UST-043,,Tumon Bay Capitol Hotel,"1448 Pale San Vitores St Taamuning, GU",GEPA-UST-043,,Safe Suction,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
