Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
2803504,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD OFFICE,704 BLAND ST,BLUEFIELD,24701,Mercer,-1,1977-03-01,Steel,1,Permanently Out of Service,Yes,1989-07-15,2000.0,Gasoline
2803509,UNCERTAIN/UNKNOWN,JACK DAVIDSON - DAVIDSON CONST,US RT 52 N,BLUEFIELD,24701,Mercer,1,1982-05-01,Steel,1,Permanently Out of Service,Yes,,4000.0,Gasoline
2803509,UNCERTAIN/UNKNOWN,JACK DAVIDSON - DAVIDSON CONST,US RT 52 N,BLUEFIELD,24701,Mercer,2,1982-05-01,Steel,1,Permanently Out of Service,Yes,,4000.0,Gasoline
2803509,UNCERTAIN/UNKNOWN,JACK DAVIDSON - DAVIDSON CONST,US RT 52 N,BLUEFIELD,24701,Mercer,3,1982-05-01,Steel,1,Permanently Out of Service,Yes,,4000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-7,1989-12-01,Fiberglass Reinforced Plastic,1,Permanently Out of Service,Yes,2001-11-06,10000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-6,1989-12-01,Fiberglass Reinforced Plastic,1,Permanently Out of Service,Yes,2001-11-06,10000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-5,1989-12-01,Fiberglass Reinforced Plastic,1,Permanently Out of Service,Yes,2001-11-06,10000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-4,1959-06-26,Steel,1,Permanently Out of Service,Yes,1990-01-15,1000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-3,1959-06-26,Steel,1,Permanently Out of Service,Yes,1990-01-15,5000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-2,1959-06-26,Steel,1,Permanently Out of Service,Yes,1990-01-15,15000.0,Gasoline
2803510,SPEEDWAY LLC,RICH OIL STATION 3943,330 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-1,1959-06-26,Steel,1,Permanently Out of Service,Yes,1990-01-15,10000.0,Gasoline
2803511,BANKRUPTCY,ALLIED REFRIGERATION INC,AIRPORT RD W 123 CASE NO 93-10111,BLUEFIELD,24701,Mercer,-2,1973-05-01,Steel,1,Permanently Out of Service,Yes,1993-01-01,2000.0,Diesel
2803511,BANKRUPTCY,ALLIED REFRIGERATION INC,AIRPORT RD W 123 CASE NO 93-10111,BLUEFIELD,24701,Mercer,-1,1973-05-01,Steel,1,Permanently Out of Service,Yes,1990-01-01,2000.0,Gasoline
2803514,INDUSTRIAL GAS & SUPPLY COMPANY,IND GAS & SUPPLY CO,OLD RT 460,BLUEFIELD,24701,Mercer,-2,1982-05-01,Steel,1,Permanently Out of Service,Yes,1988-09-01,2000.0,Diesel
2803514,INDUSTRIAL GAS & SUPPLY COMPANY,IND GAS & SUPPLY CO,OLD RT 460,BLUEFIELD,24701,Mercer,-1,1963-05-02,Steel,1,Permanently Out of Service,Yes,1988-09-01,1000.0,Gasoline
