Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
2403047,UNKNOWN,BISHOP MINE SUPPLY,PO BOX 84,BISHOP,24604,McDowell,1,,Steel,1,Permanently Out of Service,Yes,1993-10-12,3000.0,Gasoline
2403047,UNKNOWN,BISHOP MINE SUPPLY,PO BOX 84,BISHOP,24604,McDowell,2,1973-11-15,Steel,1,Permanently Out of Service,Yes,1993-10-12,3000.0,Gasoline
2403047,UNKNOWN,BISHOP MINE SUPPLY,PO BOX 84,BISHOP,24604,McDowell,3,1973-11-15,Steel,1,Permanently Out of Service,Yes,1993-10-12,2000.0,Gasoline
3103973,CONSOLIDATION COAL COMPANY,BLACKSVILLE 2 PREPARATION PLANT,WV RT 7,BLACKSVILLE,26521,Monongalia,-4,1980-04-30,Steel,1,Permanently Out of Service,Yes,1994-05-18,10000.0,Hazardous Substance
3103973,CONSOLIDATION COAL COMPANY,BLACKSVILLE 2 PREPARATION PLANT,WV RT 7,BLACKSVILLE,26521,Monongalia,-3,1985-04-30,Steel,1,Permanently Out of Service,Yes,1994-05-16,5000.0,Hazardous Substance
3103973,CONSOLIDATION COAL COMPANY,BLACKSVILLE 2 PREPARATION PLANT,WV RT 7,BLACKSVILLE,26521,Monongalia,-2,1985-04-30,Steel,1,Permanently Out of Service,Yes,1994-05-16,10000.0,Diesel
3103973,CONSOLIDATION COAL COMPANY,BLACKSVILLE 2 PREPARATION PLANT,WV RT 7,BLACKSVILLE,26521,Monongalia,-1,1985-04-30,Steel,1,Permanently Out of Service,Yes,1994-05-17,1000.0,Diesel
3103974,CONSOLIDATION COAL COMPANY,BLACKSVILLE 2 SUPPLY,WV RT 7,BLACKSVILLE,26521,Monongalia,-1,1970-05-01,Steel,1,Permanently Out of Service,Yes,1991-10-23,550.0,Diesel
3103988,EXXON CO USA,S/S LOC #20826,WV RT 7 BOX 26,BLACKSVILLE,26521,Monongalia,1,1966-12-09,Steel,1,Permanently Out of Service,Yes,1986-04-28,3000.0,Gasoline
3103988,EXXON CO USA,S/S LOC #20826,WV RT 7 BOX 26,BLACKSVILLE,26521,Monongalia,2,1964-12-08,Steel,1,Permanently Out of Service,Yes,1986-04-28,4000.0,Gasoline
3103988,EXXON CO USA,S/S LOC #20826,WV RT 7 BOX 26,BLACKSVILLE,26521,Monongalia,3,1964-12-08,Steel,1,Permanently Out of Service,Yes,1986-04-28,4000.0,Gasoline
3103988,EXXON CO USA,S/S LOC #20826,WV RT 7 BOX 26,BLACKSVILLE,26521,Monongalia,4,1964-12-08,Steel,1,Permanently Out of Service,Yes,1986-04-28,4000.0,Gasoline
3104011,"HUSK, RALPH JR",BLACKSVILLE GARAGE,RT 7 PO BOX 61,BLACKSVILLE,26521,Monongalia,-3,1976-04-23,Steel,1,Permanently Out of Service,Yes,1991-05-14,6000.0,Gasoline
3104011,"HUSK, RALPH JR",BLACKSVILLE GARAGE,RT 7 PO BOX 61,BLACKSVILLE,26521,Monongalia,-2,1976-04-23,Steel,1,Permanently Out of Service,Yes,1991-05-14,4000.0,Gasoline
3104011,"HUSK, RALPH JR",BLACKSVILLE GARAGE,RT 7 PO BOX 61,BLACKSVILLE,26521,Monongalia,-1,1976-04-23,Steel,1,Permanently Out of Service,Yes,1991-05-14,3000.0,Gasoline
3104045,"D & R DISTRIBUTORS, INC.",COWELL'S GARAGE,STAR RT 1 BOX 13,BLACKSVILLE,26521,Monongalia,1,1973-03-29,Steel,1,Permanently Out of Service,Yes,1989-03-29,6000.0,Gasoline
