TANK_ID,TANK_INFO_CODE,TANK_INFO_DESCRIPTION,TANK_DETAIL_CODE,TANK_DETAIL_DESCRIPTION
16622.0,B,Contents,B02,DIESEL
16622.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16622.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16623.0,A,Construction Material,A04,FIBERGLASS REINFORCED PLASTIC
16623.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16623.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16623.0,C,Corrosion Protection,C16,NONE - TANK
16623.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16624.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16624.0,B,Contents,B12,EMPTY
16624.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16624.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16624.0,C,Corrosion Protection,C16,NONE - TANK
16624.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16625.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16625.0,B,Contents,B03,UNLEADED GASOLINE
16625.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16625.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16625.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16625.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16625.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16626.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16626.0,B,Contents,B03,UNLEADED GASOLINE
16626.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16626.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16626.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16626.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16626.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16627.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16627.0,B,Contents,B03,UNLEADED GASOLINE
16627.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16627.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16627.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16627.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16627.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16628.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16628.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16628.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16628.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16628.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16628.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16628.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16629.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16629.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16629.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16629.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16629.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16629.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16629.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16630.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16630.0,B,Contents,B06,USED OIL
16630.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16630.0,C,Corrosion Protection,C16,NONE - TANK
16630.0,F,Piping,F06,UNKNOWN
16631.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16631.0,B,Contents,B12,EMPTY
16631.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16631.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16632.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16632.0,B,Contents,B12,EMPTY
16632.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16632.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16632.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16632.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16633.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16633.0,B,Contents,B12,EMPTY
16633.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16633.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16633.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16633.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16634.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16634.0,B,Contents,B12,EMPTY
16634.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16634.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16634.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16634.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16635.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16635.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16635.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16635.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16635.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16636.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16636.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16636.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16636.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16636.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16637.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16637.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16637.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16637.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16637.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16638.0,A,Construction Material,A07,UNKNOWN
16638.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16638.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16638.0,F,Piping,F06,UNKNOWN
16639.0,A,Construction Material,A07,UNKNOWN
16639.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16639.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16639.0,F,Piping,F06,UNKNOWN
16640.0,A,Construction Material,A07,UNKNOWN
16640.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16640.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16640.0,F,Piping,F06,UNKNOWN
16641.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16641.0,B,Contents,B03,UNLEADED GASOLINE
16641.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16641.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16641.0,F,Piping,F06,UNKNOWN
16642.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16642.0,B,Contents,B03,UNLEADED GASOLINE
16642.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16642.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16642.0,F,Piping,F06,UNKNOWN
16643.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16643.0,B,Contents,B14,KEROSENE
16643.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16643.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16643.0,F,Piping,F06,UNKNOWN
16644.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16644.0,B,Contents,B02,DIESEL
16644.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16644.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16644.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16645.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16645.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16645.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16645.0,C,Corrosion Protection,C16,NONE - TANK
16645.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16646.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16646.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16646.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16646.0,C,Corrosion Protection,C16,NONE - TANK
16646.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16647.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16647.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16647.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16647.0,C,Corrosion Protection,C16,NONE - TANK
16647.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16648.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16648.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16648.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16648.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16648.0,H,Release Detect. Method (Tanks),H11,NONE
16649.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16649.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16649.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16649.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16649.0,H,Release Detect. Method (Tanks),H11,NONE
16650.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16650.0,B,Contents,B11,UNKNOWN
16650.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16650.0,F,Piping,F08,COPPER
16650.0,H,Release Detect. Method (Tanks),H11,NONE
16651.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16651.0,B,Contents,B02,DIESEL
16651.0,B,Contents,B03,UNLEADED GASOLINE
16651.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16651.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16651.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16652.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16652.0,B,Contents,B06,USED OIL
16652.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16652.0,C,Corrosion Protection,C16,NONE - TANK
16652.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16653.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16653.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16653.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16653.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16653.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16654.0,A,Construction Material,A04,FIBERGLASS REINFORCED PLASTIC
16654.0,A,Construction Material,A06,DOUBLE WALLED
16654.0,B,Contents,B03,UNLEADED GASOLINE
16654.0,C,Corrosion Protection,C19,N/A - Tank
16654.0,C,Corrosion Protection,C20,N/A - Piping
16654.0,F,Piping,F09,DOUBLE WALLED PIPING
16654.0,F,Piping,F10,FLEXIBLE PIPING
16654.0,F,Piping,F90,PRESSURIZED
16654.0,F,Piping,F93,UNDERGROUND
16654.0,G,Release Detection (Piping),G09,LINE TIGHTNESS TESTING
16654.0,G,Release Detection (Piping),G15,ELECTRONIC LINE LEAK DETECTOR
16654.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16654.0,I,Spill/Overfill Protection,I01,PRODUCT LEVEL SENSOR/ALARM
16654.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16654.0,L,Loading Racks,L09,NOT APPLICABLE
16654.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16654.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16654.0,S,Secondary Containment,S16,NOT APPLICABLE - TANK
16654.0,S,Secondary Containment,S17,NOT APPLICABLE - PIPING
16654.0,U,Usage,U02,RETAIL
16655.0,A,Construction Material,A04,FIBERGLASS REINFORCED PLASTIC
16655.0,A,Construction Material,A06,DOUBLE WALLED
16655.0,B,Contents,B85,SUPER UNLEADED
16655.0,C,Corrosion Protection,C19,N/A - Tank
16655.0,C,Corrosion Protection,C20,N/A - Piping
16655.0,F,Piping,F09,DOUBLE WALLED PIPING
16655.0,F,Piping,F10,FLEXIBLE PIPING
16655.0,F,Piping,F90,PRESSURIZED
16655.0,F,Piping,F93,UNDERGROUND
16655.0,G,Release Detection (Piping),G09,LINE TIGHTNESS TESTING
16655.0,G,Release Detection (Piping),G15,ELECTRONIC LINE LEAK DETECTOR
16822.0,F,Piping,F90,PRESSURIZED
16655.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16655.0,I,Spill/Overfill Protection,I01,PRODUCT LEVEL SENSOR/ALARM
16655.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16655.0,L,Loading Racks,L09,NOT APPLICABLE
16655.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16655.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16655.0,S,Secondary Containment,S16,NOT APPLICABLE - TANK
16655.0,S,Secondary Containment,S17,NOT APPLICABLE - PIPING
16655.0,U,Usage,U02,RETAIL
16656.0,A,Construction Material,A04,FIBERGLASS REINFORCED PLASTIC
16656.0,B,Contents,B12,EMPTY
16656.0,C,Corrosion Protection,C19,N/A - Tank
16656.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16656.0,G,Release Detection (Piping),G18,NONE
16656.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16656.0,H,Release Detect. Method (Tanks),H11,NONE
16656.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16656.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16656.0,L,Loading Racks,L09,NOT APPLICABLE
16656.0,S,Secondary Containment,S15,NONE
16657.0,A,Construction Material,A26,STI P3
16657.0,B,Contents,B03,UNLEADED GASOLINE
16657.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16657.0,F,Piping,F10,FLEXIBLE PIPING
16657.0,F,Piping,F90,PRESSURIZED
16657.0,F,Piping,F93,UNDERGROUND
16657.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16657.0,G,Release Detection (Piping),G09,LINE TIGHTNESS TESTING
16657.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16657.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16657.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16657.0,L,Loading Racks,L09,NOT APPLICABLE
16657.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16657.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16657.0,S,Secondary Containment,S15,NONE
16657.0,U,Usage,U02,RETAIL
16658.0,A,Construction Material,A26,STI P3
16658.0,B,Contents,B85,SUPER UNLEADED
16658.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16658.0,F,Piping,F10,FLEXIBLE PIPING
16658.0,F,Piping,F90,PRESSURIZED
16658.0,F,Piping,F93,UNDERGROUND
16658.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16658.0,G,Release Detection (Piping),G09,LINE TIGHTNESS TESTING
16658.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16658.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16658.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16658.0,L,Loading Racks,L09,NOT APPLICABLE
16658.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16658.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16658.0,S,Secondary Containment,S15,NONE
16658.0,U,Usage,U02,RETAIL
16659.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16659.0,A,Construction Material,A02,COATED STEEL (DIELECTRIC COAT)
16659.0,B,Contents,B03,UNLEADED GASOLINE
16659.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16659.0,C,Corrosion Protection,C05,IMPRESSED CURRENT UPGRADE - TANK
16659.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16659.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16659.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16659.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16659.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16660.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16660.0,A,Construction Material,A02,COATED STEEL (DIELECTRIC COAT)
16660.0,B,Contents,B02,DIESEL
16660.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16660.0,C,Corrosion Protection,C05,IMPRESSED CURRENT UPGRADE - TANK
16660.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16660.0,G,Release Detection (Piping),G13,"EXEMPT (SUCTION, GENERATOR)"
16660.0,H,Release Detect. Method (Tanks),H02,TANK TIGHTNESS TEST W INV CONT
16660.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16660.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16661.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16661.0,B,Contents,B02,DIESEL
16661.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16661.0,C,Corrosion Protection,C16,NONE - TANK
16661.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16661.0,I,Spill/Overfill Protection,I05,NONE
16662.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16662.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16662.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16662.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16662.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16663.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16663.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16663.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16663.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16663.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16664.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16664.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16664.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16664.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16664.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16665.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16665.0,B,Contents,B02,DIESEL
16665.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16665.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16665.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16666.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16666.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16666.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16666.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16666.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16667.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16667.0,B,Contents,B02,DIESEL
16667.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16667.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16667.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16667.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16667.0,G,Release Detection (Piping),G10,SIR - STATISTICAL INV RECON
16667.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16667.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16667.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16667.0,L,Loading Racks,L09,NOT APPLICABLE
16667.0,S,Secondary Containment,S16,NOT APPLICABLE - TANK
16667.0,S,Secondary Containment,S17,NOT APPLICABLE - PIPING
16668.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16668.0,B,Contents,B02,DIESEL
16668.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16668.0,F,Piping,F03,FIBERGLASS REINFORCED PLASTIC
16668.0,G,Release Detection (Piping),G08,MECHANICAL LINE LEAK DETECTOR
16668.0,G,Release Detection (Piping),G10,SIR - STATISTICAL INV RECON
16668.0,H,Release Detect. Method (Tanks),H09,SIR - STAT INVENTORY RECONCIL
16668.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16668.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16668.0,L,Loading Racks,L09,NOT APPLICABLE
16668.0,S,Secondary Containment,S16,NOT APPLICABLE - TANK
16668.0,S,Secondary Containment,S17,NOT APPLICABLE - PIPING
16669.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16669.0,B,Contents,B11,UNKNOWN
16669.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16669.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16669.0,F,Piping,F86,NONE
16670.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16670.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16670.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16670.0,C,Corrosion Protection,C16,NONE - TANK
16670.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16671.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16671.0,B,Contents,B02,DIESEL
16671.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16671.0,C,Corrosion Protection,C16,NONE - TANK
16671.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16672.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16672.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16672.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16672.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16672.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16673.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16673.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16673.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16673.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16673.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16673.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16674.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16674.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16674.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16674.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16674.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16674.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16675.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16675.0,B,Contents,B02,DIESEL
16675.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16675.0,C,Corrosion Protection,C04,SACRIFICIAL ANODE UPGRADE - TANK
16675.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16675.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16676.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16676.0,B,Contents,B02,DIESEL
16676.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16676.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16677.0,A,Construction Material,A06,DOUBLE WALLED
16677.0,A,Construction Material,A26,STI P3
16677.0,B,Contents,B02,DIESEL
16677.0,F,Piping,F10,FLEXIBLE PIPING
16677.0,F,Piping,F89,SUCTION
16677.0,G,Release Detection (Piping),G13,"EXEMPT (SUCTION, GENERATOR)"
16677.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16677.0,I,Spill/Overfill Protection,I02,AUTOMATIC TANK FILL SHUT OFF
16677.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16677.0,S,Secondary Containment,S01,DOUBLE WALLED TANK
16677.0,S,Secondary Containment,S02,DOUBLE WALLED PIPING
16677.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16677.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16678.0,A,Construction Material,A06,DOUBLE WALLED
16678.0,A,Construction Material,A26,STI P3
16678.0,B,Contents,B03,UNLEADED GASOLINE
16678.0,F,Piping,F10,FLEXIBLE PIPING
16678.0,F,Piping,F89,SUCTION
16678.0,G,Release Detection (Piping),G13,"EXEMPT (SUCTION, GENERATOR)"
16678.0,H,Release Detect. Method (Tanks),H03,AUTOMATIC TANK GAUGING
16678.0,I,Spill/Overfill Protection,I03,SPILL CATCHMENT BASIN
16678.0,I,Spill/Overfill Protection,I11,FLAPPER VALVE
16954.0,F,Piping,F08,COPPER
16678.0,S,Secondary Containment,S01,DOUBLE WALLED TANK
16678.0,S,Secondary Containment,S02,DOUBLE WALLED PIPING
16678.0,S,Secondary Containment,S06,UNDER DISPENSER CONTAINMENT
16678.0,S,Secondary Containment,S07,TURBINE SUMP LINER
16679.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16679.0,B,Contents,B02,DIESEL
16679.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16679.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16680.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16680.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16680.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16680.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16681.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16681.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16681.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16681.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16682.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16682.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16682.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16682.0,F,Piping,F06,UNKNOWN
16683.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16683.0,B,Contents,B26,JET FUEL
16683.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16683.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16683.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16684.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16684.0,B,Contents,B26,JET FUEL
16684.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16684.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16684.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16685.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16685.0,B,Contents,B26,JET FUEL
16685.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16685.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16685.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16686.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16686.0,B,Contents,B11,UNKNOWN
16686.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16686.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16686.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16687.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16687.0,B,Contents,B11,UNKNOWN
16687.0,C,Corrosion Protection,C03,UNKNOWN - TANK
16687.0,C,Corrosion Protection,C09,PAINTED OR ASPHALTED
16687.0,F,Piping,F01,BARE OR GALVANIZED STEEL
16688.0,A,Construction Material,A01,BARE OR GALVANIZED STEEL
16688.0,B,Contents,B13,GASOLINE UNKNOWN TYPE
16688.0,C,Corrosion Protection,C03,UNKNOWN - TANK
