TANK_ID,OWNER_ID,OWNER_NAME,FACILITY_ID,FACILITY_NAME,TRIBAL_SITE,OPERATOR_ID,OPERATOR_NAME,TANK_TYPE,TANK_STATUS,FACILITY_LATITUDE,FACILITY_LONGITUDE,FACILITY_ADDRESS_1,FACILITY_ADDRESS_2,FACILITY_CITY,FACILITY_ZIP_CODE,FACILITY_STATE,FACILITY_COUNTY,TANK_INSTALLATION_DATE,TANK_CLOSURE_DATE
36024,46664,NAVAJO TRAVEL PLAZA LLC,52721,NAVAJO TRAVEL PLAZA,,O4138,NAVAJO TRAVEL PLAZA LLC,U,CURRENTLY IN USE,35.505524,-108.833084,3370 W 66 AVE,,GALLUP,87301    ,NM,MCKINLEY,21-NOV-02,
36025,76604,TRILOGY RETAIL NEW MEXICO LLC,52734,DUKE CITY,,O14522,TRILOGY RETAIL NEW MEXICO LLC,U,CURRENTLY IN USE,35.529628,-108.720021,1512 EAST HISTORIC HWY 66,,GALLUP,87301    ,NM,MCKINLEY,21-NOV-02,
36026,76604,TRILOGY RETAIL NEW MEXICO LLC,52734,DUKE CITY,,O14522,TRILOGY RETAIL NEW MEXICO LLC,U,CURRENTLY IN USE,35.529628,-108.720021,1512 EAST HISTORIC HWY 66,,GALLUP,87301    ,NM,MCKINLEY,21-NOV-02,
36121,76120,UNITED FUEL AND ENERGY DBA SC FUELS,52851,UNITED FUEL & ENERGY CORP SFS 52851,,O10454,UNITED FUEL AND ENERGY DBA SC FUELS,U,REMOVED,32.70374,-103.142764,317 N LEECH,,HOBBS,88240    ,NM,LEA,28-OCT-02,22-MAR-11
36122,76120,UNITED FUEL AND ENERGY DBA SC FUELS,52851,UNITED FUEL & ENERGY CORP SFS 52851,,O10454,UNITED FUEL AND ENERGY DBA SC FUELS,U,REMOVED,32.70374,-103.142764,317 N LEECH,,HOBBS,88240    ,NM,LEA,28-OCT-02,22-MAR-11
36123,76120,UNITED FUEL AND ENERGY DBA SC FUELS,52851,UNITED FUEL & ENERGY CORP SFS 52851,,O10454,UNITED FUEL AND ENERGY DBA SC FUELS,U,REMOVED,32.70374,-103.142764,317 N LEECH,,HOBBS,88240    ,NM,LEA,28-OCT-02,22-MAR-11
36126,26482,RED MESA TRADING CO INC,31838,RED MESA EXPRESS 520,,O3964,RED MESA TRADING CO INC,U,CURRENTLY IN USE,35.783722,-107.263536,27 MILES W OF CUBA,ON HWY 197,TORREON,87013    ,NM,SANDOVAL,22-NOV-02,
36127,26482,RED MESA TRADING CO INC,31838,RED MESA EXPRESS 520,,O3964,RED MESA TRADING CO INC,U,CURRENTLY IN USE,35.783722,-107.263536,27 MILES W OF CUBA,ON HWY 197,TORREON,87013    ,NM,SANDOVAL,22-NOV-02,
36135,46807,LICANO GUILLARMO ,53001,GUILLARMO,,,,U,REMOVED,34.419208,-103.196844,719 E SR E 21ST,,CLOVIS,88101    ,NM,CURRY,01-JAN-00,13-DEC-02
36136,46807,LICANO GUILLARMO ,53001,GUILLARMO,,,,U,REMOVED,34.419208,-103.196844,719 E SR E 21ST,,CLOVIS,88101    ,NM,CURRY,01-JAN-00,13-DEC-02
36176,16628,COHN HELEN ,28123,FORMER PHILLIPS 66 STATION,,,,U,EXEMPT,36.400376,-105.576569,328 PASEO DEL PUEBLO SUR,,TAOS,87571    ,NM,TAOS,01-JAN-44,14-NOV-02
36187,46863,WELLS FARGO BANK NEW MEXICO,53039,CALDWELL MOTOR CO - BELEN,,,,U,REMOVED,34.664351,-106.775745,401 N MAIN,,BELEN,87002    ,NM,VALENCIA,01-JAN-00,08-JAN-03
36296,14841,CONOCOPHILLIPS COMPANY,53135,FORMER BULK PLANT FACILITY,,,,U,REMOVED,,,OAK ST,,BERNALILLO,87004    ,NM,SANDOVAL,01-JAN-00,23-JAN-03
36297,47002,PAY AND SAVE INC.,53136,LOWES FUEL CENTER AND GROCERY STORE,,O4150,PAY AND SAVE INC.,U,CURRENTLY IN USE,32.900281,-105.955826,675 1/2 E 10TH ST,,ALAMOGORDO,88310    ,NM,OTERO,04-DEC-02,
36298,47002,PAY AND SAVE INC.,53136,LOWES FUEL CENTER AND GROCERY STORE,,O4150,PAY AND SAVE INC.,U,CURRENTLY IN USE,32.900281,-105.955826,675 1/2 E 10TH ST,,ALAMOGORDO,88310    ,NM,OTERO,04-DEC-02,
36300,8623,NEW MEXICO (STATE OF) NMDOT,53140,ROSWELL POLICE DEPT BLDG,,,,U,EXEMPT,33.394042,-104.524005,128 W 2ND ST,,ROSWELL,88201    ,NM,CHAVES,01-JAN-00,14-JAN-03
36301,8623,NEW MEXICO (STATE OF) NMDOT,53140,ROSWELL POLICE DEPT BLDG,,,,U,EXEMPT,33.394042,-104.524005,128 W 2ND ST,,ROSWELL,88201    ,NM,CHAVES,01-JAN-00,14-JAN-03
36303,14283,PORTER OIL INC,32175,VALLEY CHEVRON,,O2112,PORTER OIL INC,U,REMOVED,32.30405,-106.79336,390 S VALLEY DR,,LAS CRUCES,88005    ,NM,DONA ANA,01-FEB-03,15-FEB-16
36341,45489,SAMS EAST INC,51766,SAMS CLUB 4784,,O4046,SAMS EAST INC,U,CURRENTLY IN USE,32.347643,-106.766105,2711 N TELSHOR BLVD,,LAS CRUCES,88011    ,NM,DONA ANA,22-MAY-02,
36342,45489,SAMS EAST INC,51766,SAMS CLUB 4784,,O4046,SAMS EAST INC,U,CURRENTLY IN USE,32.347643,-106.766105,2711 N TELSHOR BLVD,,LAS CRUCES,88011    ,NM,DONA ANA,22-MAY-02,
36343,45489,SAMS EAST INC,51766,SAMS CLUB 4784,,O4046,SAMS EAST INC,U,CURRENTLY IN USE,32.347643,-106.766105,2711 N TELSHOR BLVD,,LAS CRUCES,88011    ,NM,DONA ANA,22-MAY-02,
36362,76549,NEW MEXICO COMPANY OPERATIONS LLC,53298,STONE CORNER SHELL,,O14312,NEW MEXICO COMPANY OPERATIONS LLC,U,CURRENTLY IN USE,32.958735,-105.942993,175 US 82,,ALAMOGORDO,88310    ,NM,OTERO,19-FEB-03,
