FacilityID,tank_name,Tank Type,Tank Use,Status,OCC Exempt,Compartments,Capacity,InstalledDate,Tank Material,Tank Construction,Manifold,LastUsedDate,ClosedDate,InPlaceApproval,SiteAssessment,Facility,Latitude,Longitude
9410,5.0,UST,Retail,CIU,False,2,12000,9/1/2007,Steel With Fiberglass,Double Walled,False,,,False,False,E-Z Mart #4368,35.8159,-94.6286
9517,1.0,UST,Retail,CIU,False,1,4000,5/1/1974,Steel,Single Walled,False,12/1/2005,,False,False,IK C-Store,35.8088,-94.6398
9517,2.0,UST,Retail,CIU,False,1,2000,5/1/1974,Steel,Single Walled,False,12/1/2005,,False,False,IK C-Store,35.8088,-94.6398
9517,3.0,UST,Retail,CIU,False,1,8000,5/1/1979,Steel,Single Walled,False,12/1/2005,,False,False,IK C-Store,35.8088,-94.6398
9518,1.0,UST,Retail,CIU,False,1,10000,4/4/1979,Steel,Single Walled,False,,,False,False,Hop-In Food Store,35.8343,-94.6301
9518,2.0,UST,Retail,CIU,False,1,10000,4/4/1979,Steel,Single Walled,False,,,False,False,Hop-In Food Store,35.8343,-94.6301
9518,3.0,UST,Retail,CIU,False,1,6000,,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Hop-In Food Store,35.8343,-94.6301
10243,1.0,UST,Retail,CIU,False,1,10000,5/1/1981,Steel,Single Walled,False,,,False,False,Big B Food & Deli #1,35.8057,-94.63
1854,2.0,UST,Non-Retail,CIU,True,1,500,,Steel,Single Walled,False,,,False,False,Edna Dugan,,
10243,2.0,UST,Retail,CIU,False,1,10000,5/1/1981,Steel,Single Walled,False,,,False,False,Big B Food & Deli #1,35.8057,-94.63
10243,3.0,UST,Retail,CIU,False,1,10000,5/1/1981,Steel,Single Walled,False,,,False,False,Big B Food & Deli #1,35.8057,-94.63
10553,2.0,UST,Retail,CIU,False,1,6000,5/1/1991,Steel,Single Walled,False,,,False,False,Circle H Country Store,35.8774,-94.7455
10553,3.0,UST,Retail,CIU,False,1,6000,5/1/1991,Steel,Single Walled,False,,,False,False,Circle H Country Store,35.8774,-94.7455
10553,4.0,UST,Retail,CIU,False,1,1000,11/1/1998,Steel,Single Walled,False,,,False,False,Circle H Country Store,35.8774,-94.7455
11239,1.0,UST,Retail,CIU,False,1,10000,8/22/1988,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Kwik Kountry,35.9947,-94.5834
11239,2.0,UST,Retail,CIU,False,1,10000,8/22/1988,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Kwik Kountry,35.9947,-94.5834
11239,3.0,UST,Retail,CIU,False,1,10000,8/22/1988,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Kwik Kountry,35.9947,-94.5834
11793,4.0,UST,Retail,CIU,False,1,8000,3/1/1999,Steel,Single Walled,False,,,False,False,IK C-Store #3,35.8171,-94.6282
11793,5.0,UST,Retail,CIU,False,1,4000,3/1/1999,Steel,Single Walled,False,,,False,False,IK C-Store #3,35.8171,-94.6282
12823,1.0,UST,Retail,CIU,False,1,10000,8/1/1991,Steel,Single Walled,False,,,False,False,Big B Food & Deli #3,35.8303,-94.6287
12823,2.0,UST,Retail,CIU,False,1,10000,8/1/1991,Steel,Single Walled,False,,,False,False,Big B Food & Deli #3,35.8303,-94.6287
12823,3.0,UST,Retail,CIU,False,1,12000,8/1/1991,Steel,Single Walled,False,,,False,False,Big B Food & Deli #3,35.8303,-94.6287
12454,1.0,UST,Retail,CIU,False,1,10000,,Steel,Single Walled,False,,,False,False,Rector's Handy Mart,34.2999,-95.9902
12454,2.0,UST,Retail,CIU,False,1,6000,,Steel,Single Walled,False,,,False,False,Rector's Handy Mart,34.2999,-95.9902
12454,3.0,UST,Retail,CIU,False,1,4000,,Steel,Single Walled,False,,,False,False,Rector's Handy Mart,34.2999,-95.9902
12479,5.0,UST,Retail,CIU,False,1,8000,10/17/2002,Steel With Fiberglass,Single Walled,False,,,False,False,Sunshine Convenience Store,34.3759,-96.1337
12634,1.0,UST,Retail,CIU,False,1,6000,3/14/1986,Steel,Single Walled,False,,,False,False,Tushka Superette,34.3197,-96.1679
12634,2.0,UST,Retail,CIU,False,1,10000,3/14/1986,Steel,Single Walled,False,,,False,False,Tushka Superette,34.3197,-96.1679
14481,4.0,UST,Retail,CIU,False,2,12000,1/30/2008,Steel With Fiberglass,Single Walled,False,,,False,False,Hop N Shop #4,34.3022,-95.9974
3180,4.0,UST,Retail,CIU,False,1,12000,7/1/1993,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store,36.8091,-100.5195
3180,5.0,UST,Retail,CIU,False,2,12000,7/1/1993,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store,36.8091,-100.5195
7484,1.0,UST,Retail,CIU,False,1,10000,5/5/1981,Steel,Single Walled,False,,,False,False,Ozzie's,36.9069,-100.5437
7484,2.0,UST,Retail,CIU,False,1,4000,5/5/1981,Steel,Single Walled,False,,,False,False,Ozzie's,36.9069,-100.5437
7484,3.0,UST,Retail,CIU,False,1,4000,5/5/1981,Steel,Single Walled,False,,,False,False,Ozzie's,36.9069,-100.5437
12220,2.0,UST,Retail,CIU,False,1,12000,2/1/1987,Steel,Single Walled,False,,,False,False,Slapout,36.6164,-100.109
12220,4.0,UST,Retail,CIU,False,1,6000,6/2/1998,Steel,Single Walled,False,,,False,False,Slapout,36.6164,-100.109
