CounterID,EventID,Status,Lead,StatusDate,LUSTStatusCommentsText,ProjectOfficer
3,2,Confirmed Release,RP-Lead,1993-12-20,SHOULD BE 12/20/93,
4,2,LUST Cleanup Initiated,RP-Lead,1994-05-23,,
5,2,Site Cleanup Completed (NFA),RP-Lead,1995-01-12,,
6,3,Confirmed Release,RP-Lead,1990-06-28,,
7,3,LUST Cleanup Initiated,RP-Lead,2001-06-13,"UST Closure rpt , OHM 1997",
8,3,Site Cleanup Completed (NFA),RP-Lead,2001-08-29,"NFA'd 29 Aug 2001, UO8043JAR",
9,4,Confirmed Release,RP-Lead,1990-01-24,,
10,4,LUST Cleanup Initiated,RP-Lead,1990-06-01,,
11,4,Site Cleanup Completed (NFA),RP-Lead,1997-06-20,U0693ES,
12,5,LUST Cleanup Initiated,RP-Lead,1989-10-14,BEGAN EXCAVATION AND STOCKPILING,
13,5,Confirmed Release,RP-Lead,1989-10-14,NOTED DURING A REMOVAL PROJECT,
14,5,Site Cleanup Completed (NFA),RP-Lead,2003-10-20,NFA U10026RT,
15,6,Confirmed Release,RP-Lead,1988-01-13,,
16,6,LUST Cleanup Initiated,RP-Lead,1993-09-22,ACTUAL 1-19-88,
17,6,Site Cleanup Completed (NFA),RP-Lead,1999-03-23,3/23/99 U03082JU letter,
18,7,Confirmed Release,RP-Lead,1992-01-01,RELEASE REPT 10.25/91,
19,7,Site Cleanup Completed (NFA),RP-Lead,1993-08-23,,
20,7,LUST Cleanup Initiated,RP-Lead,1993-08-23,,
21,8,Confirmed Release,RP-Lead,1994-05-12,,
22,8,LUST Cleanup Initiated,RP-Lead,1994-05-26,,
23,8,Site Cleanup Completed (NFA),RP-Lead,1999-11-26,DOH letter U11072JU,
24,9,LUST Cleanup Initiated,RP-Lead,1989-08-21,,
25,9,Confirmed Release,RP-Lead,1989-08-21,,
26,9,Disconfirmed Release,RP-Lead,1997-05-22,"Release was reported based on an inventory discrepancy and a ""rough"" tightness test. Removal of the USTs in 1990 did not reveal any actual soil contamination.",
27,10,Confirmed Release,RP-Lead,1994-11-09,VIA CALL,
28,10,LUST Cleanup Initiated,RP-Lead,1994-11-30,11/30/94 Closure Report,
29,10,Site Cleanup Completed (NFA),RP-Lead,1997-03-06,U0255ES,
30,11,Confirmed Release,RP-Lead,1992-03-11,,
31,11,LUST Cleanup Initiated,RP-Lead,1993-11-15,SOIL MGMT BEGAN W/REMOVAL PROJEC,
32,11,Site Cleanup Completed (NFA),RP-Lead,1994-01-07,,
33,12,LUST Cleanup Initiated,RP-Lead,1995-08-04,DATE OF UST REMOVAL,
34,12,Confirmed Release,RP-Lead,1995-10-10,DATE OF LAB SAMPLES,
35,12,Site Cleanup Completed (NFA),RP-Lead,1998-04-23,4/23/98 U0467SO letter,
36,13,Confirmed Release,RP-Lead,1994-02-08,ARMY LTR OF 3/30/94,
37,13,Site Cleanup Completed (NFA),RP-Lead,1997-03-14,U0330JS,
38,13,LUST Cleanup Initiated,RP-Lead,1997-03-14,,
39,14,LUST Cleanup Initiated,RP-Lead,1996-01-25,SOIL STOCKPILED FOR AERATION ON,
40,14,Confirmed Release,RP-Lead,1996-01-25,NOTED DURING REMOVAL-CALL TO JAC,
41,14,Site Cleanup Completed (NFA),RP-Lead,1996-06-27,,
42,15,Confirmed Release,RP-Lead,1993-12-02,,
43,15,LUST Cleanup Initiated,RP-Lead,1994-05-09,,
44,15,Site Cleanup Completed (NFA),RP-Lead,1994-05-09,,
45,16,LUST Cleanup Initiated,RP-Lead,1993-12-02,FREE PRODUCT PUMPED OUT OF WATER,
46,16,Confirmed Release,RP-Lead,1993-12-02,DOCUMENTED DURING PRELIM SITE IN,
47,17,Confirmed Release,RP-Lead,1995-08-18,DATE OF UST REMOVAL,
48,17,LUST Cleanup Initiated,RP-Lead,1995-10-10,DATE OF LAB SAMPLES,
49,18,LUST Cleanup Initiated,RP-Lead,1994-05-23,"Closure Report dated on Nov. 25, 1994, and received on Aug. 14, 2001",
50,18,Confirmed Release,RP-Lead,1994-05-23,CRN form dated 2/18/94,
51,19,LUST Cleanup Initiated,RP-Lead,1988-05-27,,
52,19,Confirmed Release,RP-Lead,1988-05-27,,
53,19,Site Cleanup Completed (NFA),RP-Lead,2000-06-07,"NFA's issued 5/22/00, U05039JAR",
55,20,Confirmed Release,RP-Lead,1992-06-03,,
56,20,Case Transferred to HEER (regulated),RP-Lead,1996-07-17,7/17/96 HEER Letter - Letter from Leslie Au to Army.,
57,21,Confirmed Release,RP-Lead,1990-12-19,LETTER,
58,21,Disconfirmed Release,RP-Lead,1992-06-04,,
59,22,LUST Cleanup Initiated,RP-Lead,1993-11-29,2/1/94 Walker Consultants Report,
60,22,Confirmed Release,RP-Lead,1993-11-29,12/14/93 DOH letter,
61,22,Site Cleanup Completed (NFA),RP-Lead,1997-09-09,9/9/97 U0901JAR Letter - NFA issued,
62,23,LUST Cleanup Initiated,RP-Lead,1993-10-15,,
63,23,Confirmed Release,RP-Lead,1993-10-15,,
64,24,Confirmed Release,RP-Lead,1994-02-07,PER CRN,
65,24,LUST Cleanup Initiated,RP-Lead,1994-02-07,PER CRN,
66,24,Site Cleanup Completed (NFA),RP-Lead,2001-12-27,,
67,25,LUST Cleanup Initiated,RP-Lead,1995-06-06,,
68,25,Confirmed Release,RP-Lead,1995-06-06,CALL TO JACK,
69,25,Site Cleanup Completed (NFA),RP-Lead,1995-08-21,,
70,26,Confirmed Release,RP-Lead,1992-11-24,,
71,26,LUST Cleanup Initiated,RP-Lead,1994-05-12,12/4/94 Morrison Knudsen Corporation Report - ,
72,26,Case Transferred to HEER (unregulated),RP-Lead,1998-03-13,heating oil tank transferred to heer office - rk,
73,27,LUST Cleanup Initiated,RP-Lead,1994-05-17,12/15/94 Morrison Knudsen Corporation Report,
74,27,Confirmed Release,RP-Lead,1994-05-17,,
75,27,Site Cleanup Completed (NFA),RP-Lead,1999-02-26,2/26/99 U02103JU letter,
76,28,LUST Cleanup Initiated,RP-Lead,1995-06-13,,
77,28,Confirmed Release,RP-Lead,1995-06-13,VIA CLOSURE REPT,
78,28,Site Cleanup Completed (NFA),RP-Lead,1995-08-31,,
79,29,Confirmed Release,RP-Lead,1990-12-18,PER:HLA PHASE 1 ENV. ASSESSMENT,
80,29,LUST Cleanup Initiated,RP-Lead,1996-01-31,,
81,29,Site Cleanup Completed (NFA),RP-Lead,1996-08-12,,
82,30,Monitored Natural Attenuation,RP-Lead,1988-12-02,,
83,30,Confirmed Release,RP-Lead,1988-12-02,,
84,30,LUST Cleanup Initiated,RP-Lead,1989-03-04,,
85,30,Site Cleanup Completed (NFA),RP-Lead,2006-02-16,NFA letter U02012RT,
86,31,Confirmed Release,RP-Lead,1994-04-07,,
87,31,LUST Cleanup Initiated,RP-Lead,2001-08-14,"Closure in place report dated Nov.1, 2000. and received on Aug. 14, 2001",
88,31,Exposure Prevention Management Plan,,2004-04-01,U04006RH -EPMP Noted in letter that area should be paved over with asphalt or concrete and inspected on a semi-annual basis for voids and cracks and should be repaired ASAP.,
89,32,Confirmed Release,RP-Lead,1991-05-09,,
90,32,LUST Cleanup Initiated,RP-Lead,1991-05-24,,
91,32,Site Cleanup Completed (NFA),RP-Lead,1995-02-07,,
92,33,Confirmed Release,RP-Lead,1992-01-01,RELEASE REPT 11/18/91,
93,33,LUST Cleanup Initiated,RP-Lead,1993-09-23,11-29-91,
94,33,Site Cleanup Completed (NFA),RP-Lead,2001-06-19,,
96,34,Confirmed Release,RP-Lead,1991-12-12,,
98,35,Confirmed Release,RP-Lead,1989-12-15,,
99,35,LUST Cleanup Initiated,RP-Lead,1991-05-16,6/6/90 UNITEK closure report-RSM,
100,35,Site Cleanup Completed (NFA),RP-Lead,2003-05-15,,
101,36,Confirmed Release,RP-Lead,1989-03-30,TTT,
102,36,LUST Cleanup Initiated,RP-Lead,1989-04-18,NAKAI DID 2ND TTT-REPAIRED PIPIN,
103,36,Site Cleanup Completed (NFA),RP-Lead,1997-05-28,U0549DH,
104,37,Confirmed Release,RP-Lead,1993-11-29,,
105,37,LUST Cleanup Initiated,RP-Lead,1994-01-14,UST Closure Report received 5/18/98,
106,37,Site Cleanup Completed (NFA),RP-Lead,2001-04-16,,
107,38,Monitored Natural Attenuation,RP-Lead,1996-06-06,,
108,38,Confirmed Release,RP-Lead,1990-03-23,,
109,38,LUST Cleanup Initiated,RP-Lead,1993-11-04,032990,
110,39,Confirmed Release,RP-Lead,1994-03-02,,
111,39,LUST Cleanup Initiated,RP-Lead,1994-05-13,04-18-94 REPORT,
112,39,Site Cleanup Completed (NFA),RP-Lead,1997-07-31,7/31/97 U0788SO,
113,40,Confirmed Release,RP-Lead,1995-05-03,PER CALL TO CHRIS - LAB RESULTS,
114,40,LUST Cleanup Initiated,RP-Lead,1997-07-01,7/1/97 OHM Remediation Services Corp. Report - ,
115,40,Site Cleanup Completed (NFA),RP-Lead,1997-11-03,11/3/97 DOH LETTER Letter - U1106LKI,
116,41,Confirmed Release,RP-Lead,1994-10-07,CONFIRMED W/SITE ASSMT RESULTS I,
117,41,LUST Cleanup Initiated,RP-Lead,1998-06-18,6/22/98 DOH inspection - PCS excavated during tank removal,
118,41,Site Cleanup Completed (NFA),RP-Lead,1999-08-26,"NFA issued, UO8115RSM",
119,42,LUST Cleanup Initiated,RP-Lead,1990-12-28,Excavation of contaminated soil,
120,42,Confirmed Release,RP-Lead,1990-12-28,CONFIRMED RELEASE AFTER REVIEWIN,
121,42,Site Cleanup Completed (NFA),RP-Lead,2001-05-17,,
123,43,Confirmed Release,RP-Lead,1994-02-07,,
125,44,Confirmed Release,RP-Lead,1994-04-04,,
126,44,Disconfirmed Release,RP-Lead,1996-05-21,"5/21/96 Morrison Knudsen Corporation Report - submitted letter to facility disconfirming the release and based on the info provided we have no further questions regarding the closure.  Ltr dated November 3, 1997, U1104JAR",
127,45,LUST Cleanup Initiated,RP-Lead,1995-05-10,UST REMOVAL DATE,
128,45,Confirmed Release,RP-Lead,1995-05-15,DATE OF LAB TPH ANALYSES,
129,45,Site Cleanup Completed (NFA),RP-Lead,1996-03-11,,
130,46,Confirmed Release,RP-Lead,1993-11-24,,
131,46,LUST Cleanup Initiated,RP-Lead,1993-11-24,,
132,46,Site Cleanup Completed (NFA),RP-Lead,1994-06-09,,
133,47,LUST Cleanup Initiated,RP-Lead,1992-02-04,,
134,47,Confirmed Release,RP-Lead,1992-02-04,,
135,47,Site Cleanup Completed (NFA),RP-Lead,1994-07-29,B,
136,48,LUST Cleanup Initiated,RP-Lead,1990-11-08,PER:FILE NOTES OF 11/8/90 EXCAVA,
137,48,Confirmed Release,RP-Lead,1990-11-08,,
138,48,Site Cleanup Completed (NFA),RP-Lead,1997-09-17,9/17/97 U0926LKI Letter - ,
139,49,Confirmed Release,RP-Lead,1995-06-08,LAB REPORT,
140,49,LUST Cleanup Initiated,RP-Lead,2002-07-10,"closure rpt dtd June 1995, addtional work requested 2/30/02, Work plan approved  7/ May 2002",
141,49,Site Cleanup Completed (NFA),,2005-01-26,,
142,2527,Confirmed Release,RP-Lead,1992-10-27,,
143,2527,LUST Cleanup Initiated,RP-Lead,1992-10-27,,
144,51,LUST Cleanup Initiated,RP-Lead,1991-06-29,SOIL MGMT BEGAN DURING REMOVAL P,
145,51,Confirmed Release,RP-Lead,1991-06-29,PER REMOVAL REPORT,
146,51,Site Cleanup Completed (NFA),RP-Lead,1993-11-17,,
147,52,LUST Cleanup Initiated,RP-Lead,1996-06-06,,
148,52,Confirmed Release,RP-Lead,1996-06-06,,
149,52,Site Cleanup Completed (NFA),RP-Lead,1997-10-20,10/20/97 U1083LKI Letter - ,
150,53,Confirmed Release,RP-Lead,1994-08-29,VIA NOTIFICATION FORM,
151,53,Site Cleanup Completed (NFA),RP-Lead,1997-07-30,7/30/97 U0797SO,
152,53,LUST Cleanup Initiated,RP-Lead,1997-07-30,,
153,54,Confirmed Release,RP-Lead,1991-02-28,,
154,54,LUST Cleanup Initiated,RP-Lead,1991-06-14,,
155,54,Site Cleanup Completed (NFA),RP-Lead,1997-07-25,U0760JAR,
156,55,LUST Cleanup Initiated,RP-Lead,1993-02-10,2/10/93 Dames & Moore Report,
157,55,Confirmed Release,RP-Lead,1993-07-27,VIA CLOSURE REPT DTED 02/22/93,
158,55,Site Cleanup Completed (NFA),RP-Lead,1997-10-20,10/20/97 U1061JAR Letter - NFA issued,
159,56,Confirmed Release,RP-Lead,1992-06-10,PER BHP REPT 8/6/92 PG8,
160,56,LUST Cleanup Initiated,RP-Lead,1992-07-17,PER BHP 7/20/92 LTR EXCAVATION/S,
161,56,Site Cleanup Completed (NFA),RP-Lead,1997-09-26,9/26/97 U09106DH Letter - BHP Environmental Technologies International report dated 8/6/92  as basis for NFA,
162,57,LUST Cleanup Initiated,RP-Lead,1990-02-20,,
163,57,Confirmed Release,RP-Lead,1990-02-20,,
164,57,Site Cleanup Completed (NFA),RP-Lead,2000-01-28,,
165,58,Confirmed Release,RP-Lead,1995-06-15,CALL TO ERIC,
166,58,LUST Cleanup Initiated,RP-Lead,1997-07-01,,
167,58,Site Cleanup Completed (NFA),RP-Lead,2003-06-25,,
168,59,LUST Cleanup Initiated,RP-Lead,1994-05-18,RELEASE AMTS UNDER DOH CLEAN-UP,
169,59,Confirmed Release,RP-Lead,1994-05-18,AS OF TANK REMOVAL DATE/LAB RESU,
170,59,Site Cleanup Completed (NFA),RP-Lead,1995-09-15,,
171,60,LUST Cleanup Initiated,RP-Lead,1994-09-13,,
172,60,Confirmed Release,RP-Lead,1994-09-13,,
173,60,Site Cleanup Completed (NFA),RP-Lead,1995-12-18,,
174,61,Confirmed Release,RP-Lead,1989-04-11,,
176,61,LUST Cleanup Initiated,RP-Lead,1996-06-06,,
177,62,Confirmed Release,RP-Lead,1994-01-17,NOTED DURING REMOVAL PROJECT,
178,62,LUST Cleanup Initiated,RP-Lead,1994-01-18,SOIL EXCAVATED & STOCKPILED DURI,
179,62,Site Cleanup Completed (NFA),RP-Lead,1994-08-26,,
180,63,LUST Cleanup Initiated,RP-Lead,1992-07-06,SOIL STOCKPILING/REMOVAL BEGAN D,
181,63,Confirmed Release,RP-Lead,1992-07-06,BEGAN REMOVAL PROJECT-CONTAMINAT,
182,63,Site Cleanup Completed (NFA),RP-Lead,1998-03-12,3/12/98 U0378SO letter,
183,64,LUST Cleanup Initiated,RP-Lead,1993-12-11,PER REMOVAL REPORT PG ES-1,
184,64,Confirmed Release,RP-Lead,1993-12-11,PER REMOVAL REPORT PG ES-1,
185,64,Site Cleanup Completed (NFA),RP-Lead,1998-03-18,3/18/98 U03139JS letter,
187,65,Confirmed Release,RP-Lead,1995-04-11,TO JACK RICHARDSON-VISUAL OBSERV,
188,65,Case Transferred to HEER (DERA),RP-Lead,1996-06-27,6/27/96 LUST referral letter Letter - ,
189,66,Confirmed Release,RP-Lead,1993-09-30,,
190,66,LUST Cleanup Initiated,RP-Lead,1995-01-09,4/22/96 MFA report,
191,66,Site Cleanup Completed (NFA),RP-Lead,2001-03-05,NFA'd 2/26/01 U02039JAR,
192,67,Confirmed Release,RP-Lead,1988-05-12,,
193,67,LUST Cleanup Initiated,RP-Lead,1988-10-01,,
194,67,Site Cleanup Completed (NFA),RP-Lead,1994-12-28,,
195,68,Confirmed Release,RP-Lead,1991-06-25,,
196,68,LUST Cleanup Initiated,RP-Lead,1999-08-03,Closure rpt rcv'd 5/27/99,
197,68,Site Cleanup Completed (NFA),RP-Lead,1999-08-25,"NFA'd, UO8074JAR, Aug 18,1999",
198,69,LUST Cleanup Initiated,RP-Lead,1991-07-30,FREE PRODUCT REMOVAL,
199,69,Confirmed Release,RP-Lead,1991-07-30,LETTER,
200,69,Site Cleanup Completed (NFA),RP-Lead,2001-04-18,,
201,70,Confirmed Release,RP-Lead,1992-04-13,,
202,70,Site Cleanup Completed (NFA),RP-Lead,1993-05-19,,
203,70,LUST Cleanup Initiated,RP-Lead,1993-05-19,,
204,71,LUST Cleanup Initiated,RP-Lead,1993-06-04,,
205,71,Confirmed Release,RP-Lead,1993-06-04,VIA CLOSURE REPORT PG 7,
206,71,Site Cleanup Completed (NFA),RP-Lead,1994-07-29,,
207,72,LUST Cleanup Initiated,RP-Lead,1994-02-02,SOIL MGMT DURING REMOVAL,
208,72,Confirmed Release,RP-Lead,1994-02-02,RELEASE DETECTED DURING REMOVAL,
209,72,Site Cleanup Completed (NFA),RP-Lead,1994-08-09,,
210,73,Confirmed Release,RP-Lead,1990-01-17,,
211,73,Disconfirmed Release,RP-Lead,1997-05-16,Based on info in 10/92 UST closure report. See 5/16/97 memo to file from David Hodges.,
212,74,LUST Cleanup Initiated,RP-Lead,1994-03-30,SOIL STOCKPILED DURING REMOVAL-A,
213,74,Confirmed Release,RP-Lead,1994-03-30,,
214,74,Site Cleanup Completed (NFA),RP-Lead,2001-06-27,NFA'd issued 6/22/01,
215,75,LUST Cleanup Initiated,RP-Lead,1994-07-07,,
216,75,Confirmed Release,RP-Lead,1994-07-07,,
217,75,Site Cleanup Completed (NFA),RP-Lead,2001-06-01,,
218,76,Confirmed Release,RP-Lead,1988-05-18,,
219,76,LUST Cleanup Initiated,RP-Lead,1999-02-01,  report,
220,76,Site Cleanup Completed (NFA),RP-Lead,1999-02-01,12/17/98 Levine fricke report - NFA U02005RT,
221,77,Confirmed Release,RP-Lead,1987-10-23,,
222,77,Disconfirmed Release,RP-Lead,1991-12-03,INSUFFICIENT INFORMATION - SEE F,
223,78,LUST Cleanup Initiated,RP-Lead,1994-04-09,PG 8 OF REMOVAL REPT,
224,78,Confirmed Release,RP-Lead,1994-04-09,FROM REMOVAL REPT,
225,78,Site Cleanup Completed (NFA),RP-Lead,1995-10-24,,
226,79,Monitored Natural Attenuation,RP-Lead,1991-08-01,,
227,79,Confirmed Release,RP-Lead,1991-08-02,LETTER,
228,79,LUST Cleanup Initiated,RP-Lead,1991-08-13,letter report by FOPCO 8/15/91,
229,79,Site Cleanup Completed (NFA),RP-Lead,2005-08-25,NFA U08046RT,
230,80,Confirmed Release,RP-Lead,1990-12-28,,
231,80,LUST Cleanup Initiated,RP-Lead,1992-06-18,,
232,80,Site Cleanup Completed (NFA),RP-Lead,1994-06-27,,
233,81,Confirmed Release,RP-Lead,1992-08-03,,
234,81,LUST Cleanup Initiated,RP-Lead,1992-10-08,,
235,81,Site Cleanup Completed (NFA),RP-Lead,2000-11-20,NFA letter: U11038SF,
236,82,Confirmed Release,RP-Lead,1990-05-17,,
237,82,LUST Cleanup Initiated,RP-Lead,1996-02-07,"12/1/94 Walker Consultants Report - Additional investigation is not necessary at this time and groundwater monitoring discontinued.  The subject site will remain as a leaking UST site.  In the interim, an exposure prevention management plan was requested from the facility on 9/19/96.",
238,82,Site Cleanup Completed (NFA),RP-Lead,1998-04-02,9/30/98 U09162JAR letter,
394,136,Confirmed Release,RP-Lead,1993-11-29,,
239,83,Confirmed Release,RP-Lead,1996-01-12,PHONE CALL TO JOSE RUIZ-NOTED DU,
241,84,Confirmed Release,RP-Lead,1991-01-14,,
242,84,LUST Cleanup Initiated,RP-Lead,1993-04-08,"Groundwater Sampling Report at Gas Express #11,  dated November 17, 1999, by Clayton Environmental Consultants",
243,84,Site Cleanup Completed (NFA),RP-Lead,2005-04-27,U04022SL,
244,85,Confirmed Release,RP-Lead,1991-04-15,CLOSURE REPORT,
245,85,LUST Cleanup Initiated,RP-Lead,1993-09-22,4-5-91,
246,85,Site Cleanup Completed (NFA),RP-Lead,1997-07-31,7/31/97 U07126LKI memo to file,
247,86,Confirmed Release,RP-Lead,1995-04-17,CALL TO CHRIS PROKOP,
248,86,LUST Cleanup Initiated,RP-Lead,1995-04-19,,
249,86,Site Cleanup Completed (NFA),RP-Lead,2006-04-21,NFA letter U04016RT,
250,87,LUST Cleanup Initiated,RP-Lead,1995-07-09,,
251,87,Confirmed Release,RP-Lead,1995-07-19,CALL TO JACK,
252,87,Site Cleanup Completed (NFA),RP-Lead,1997-01-29,1/29/97 UO129JAR Letter Report,
253,88,LUST Cleanup Initiated,RP-Lead,1993-02-11,SOIL STOCKPILED/REMOVED DURING R,
254,88,Confirmed Release,RP-Lead,1993-02-11,LAB RESULTS FROM REMOVAL PROJECT,
255,88,Site Cleanup Completed (NFA),RP-Lead,1993-11-16,,
257,89,Confirmed Release,RP-Lead,1991-07-05,,
260,90,Confirmed Release,RP-Lead,1994-03-31,VIA NOTIFICAITON FORM,
262,91,Confirmed Release,RP-Lead,1995-09-27,,
263,91,LUST Cleanup Initiated,RP-Lead,1995-12-04,N/A (USED ARBITRARY DATE OF BEGI,
264,91,Site Cleanup Completed (NFA),RP-Lead,2006-01-18,NFA issued U01010RT,
265,92,LUST Cleanup Initiated,RP-Lead,1995-11-06,SOIL STOCKPILED,
266,92,Confirmed Release,RP-Lead,1995-11-06,CALL TO C.PROKOP-LAB ANALYSIS-DA,
267,92,Site Cleanup Completed (NFA),RP-Lead,1997-06-01,5/6/98 U0565JU letter,
269,93,Confirmed Release,RP-Lead,1992-01-01,REPT 11/25/91,
271,94,Confirmed Release,RP-Lead,1995-05-01,CALL TO CHRIS - LAB RESULTS,
272,94,LUST Cleanup Initiated,RP-Lead,1997-07-01,Final Closure Report,
273,94,Site Cleanup Completed (NFA),RP-Lead,2002-05-10,,
274,95,LUST Cleanup Initiated,RP-Lead,1989-12-30,PIT FILLED W/NEW MATERIAL EXCAVA,
275,95,Confirmed Release,RP-Lead,1989-12-30,LAB RESULTS FROM REMOVAL SAMPLIN,
276,95,Site Cleanup Completed (NFA),State-Lead with State Money,1999-10-27,"NFA ISSUED, U10089RSM",
277,96,Confirmed Release,RP-Lead,1992-08-14,,
278,96,LUST Cleanup Initiated,RP-Lead,1992-08-20,INITIATED FREE PRODUCT RECOVERY,
279,97,LUST Cleanup Initiated,RP-Lead,1992-10-12,PER CLOSURE REPORT DATED 11/18/9,
280,97,Confirmed Release,RP-Lead,1992-10-12,PER CLOSURE REPORT DATED 11/18/9,
281,97,Site Cleanup Completed (NFA),RP-Lead,1995-11-28,,
282,98,LUST Cleanup Initiated,RP-Lead,1991-04-11,,
283,98,Confirmed Release,RP-Lead,1991-04-11,RELEASE HAS BEEN DETECTED DURING,
284,98,Site Cleanup Completed (NFA),RP-Lead,1994-05-16,,
285,99,LUST Cleanup Initiated,RP-Lead,1992-06-15,REMVL REPT PG 12 SOIL MGMT BEGAN,
286,99,Confirmed Release,RP-Lead,1992-06-15,PER REMVL REPT,
287,99,Site Cleanup Completed (NFA),RP-Lead,1998-12-08,12/8/98 U11008JAR letter - NFA issued,
288,100,LUST Cleanup Initiated,RP-Lead,1994-05-01,12/15/94 Morrison Knudsen Corporation Report,
289,100,Confirmed Release,RP-Lead,1994-05-06,,
290,100,Site Cleanup Completed (NFA),RP-Lead,2002-02-22,,
291,101,LUST Cleanup Initiated,RP-Lead,1991-06-01,SOIL EXCAVATED & TRANSPORTED DUR,
292,101,Confirmed Release,RP-Lead,1991-06-01,LEAD IN SOIL HIGH PER:MFA REPORT,
293,101,Site Cleanup Completed (NFA),RP-Lead,1994-02-08,,
294,102,Confirmed Release,RP-Lead,1995-03-16,"PHONE CALL TO ROX, LOST 250+ GAL",
295,102,LUST Cleanup Initiated,RP-Lead,1995-04-18,DURING REMOVAL,
296,102,Site Cleanup Completed (NFA),RP-Lead,2002-01-14,Soil sample was below Tier 1 NFA U01014MS,
297,103,Confirmed Release,RP-Lead,1989-07-28,07/27/89,
298,103,LUST Cleanup Initiated,RP-Lead,1990-12-06,,
299,103,Site Cleanup Completed (NFA),State-Lead with State Money,1999-10-14,"NFA ISSUED, UI0041RSM",
300,104,Confirmed Release,RP-Lead,1993-07-28,,
301,104,LUST Cleanup Initiated,RP-Lead,1999-11-17,"UST closure rpt rcv'd 11/15/99; UST pulled 6/22/93,  review report, potential NFA.",
302,104,Site Cleanup Completed (NFA),RP-Lead,2000-02-09,"NFA'd , 12/9/99  U112020JAR",
303,105,Confirmed Release,RP-Lead,1990-04-11,UNITEK ENV ASSMT 4/11/90 (APPEN,
304,105,LUST Cleanup Initiated,RP-Lead,2001-03-01,Site Assessment Report  -- SF,
305,106,LUST Cleanup Initiated,RP-Lead,1993-03-27,FREE PRODUCT REMOVAL/SOIL MGMT D,
306,106,Confirmed Release,RP-Lead,1993-03-27,VIA CLOSURE REPT,
307,106,Site Cleanup Completed (NFA),RP-Lead,1995-02-28,,
308,107,LUST Cleanup Initiated,RP-Lead,1990-03-02,REMOVED SOIL,
309,107,Confirmed Release,RP-Lead,1990-03-02,FROM 1ST RMVL REPORT,
310,107,Site Cleanup Completed (NFA),RP-Lead,2001-05-02,,
311,108,Confirmed Release,RP-Lead,1990-08-18,NOTED CONTAMINATION W/REMOVAL,
312,108,LUST Cleanup Initiated,RP-Lead,1997-10-01,11/1/97 Walker Consultants Report,
313,108,Site Cleanup Completed (NFA),RP-Lead,1998-02-05,2/5/98 UO205JAR letter,
315,109,Confirmed Release,RP-Lead,1991-11-21,VIA NOTIFICATION FORM,
317,110,Confirmed Release,RP-Lead,1991-11-13,,
318,110,LUST Cleanup Initiated,RP-Lead,1992-02-18,2-18-92,
319,110,Site Cleanup Completed (NFA),RP-Lead,1995-10-06,,
320,111,LUST Cleanup Initiated,RP-Lead,1995-08-10,DATE OF UST REMOVAL,
321,111,Confirmed Release,RP-Lead,1995-10-10,DATE OF LAB SAMPLES,
322,112,Confirmed Release,RP-Lead,1994-04-05,VIA CRN ON 03/29/94,
323,112,Disconfirmed Release,RP-Lead,1994-12-01,"12/1/94 Morrison Knudsen Corporation Report - Submitted letter to facility disconfirming release and informing them that we have no further questions regarding closure.  Ltr dated November 12, 1997, U1131JAR",
328,114,LUST Cleanup Initiated,RP-Lead,1992-10-09,,
329,114,Confirmed Release,RP-Lead,1992-10-09,,
330,114,Site Cleanup Completed (NFA),RP-Lead,1997-09-17,9/17/97 U0922LKI Letter - ,
331,115,LUST Cleanup Initiated,RP-Lead,1992-03-20,,
332,115,Confirmed Release,RP-Lead,1992-03-20,,
333,115,Site Cleanup Completed (NFA),RP-Lead,1996-10-21,10/21/96 LETTER,
334,116,Confirmed Release,RP-Lead,1992-11-12,,
335,116,LUST Cleanup Initiated,RP-Lead,1993-03-30,,
336,116,Site Cleanup Completed (NFA),RP-Lead,1997-11-03,11/3/97 U1101EJS Letter - ,
337,117,LUST Cleanup Initiated,RP-Lead,1991-07-12,"Phase II Site Assessment Groundwater Survey, LONGIE'S CRACKED SEED  STORE , 3508 HANAPEPE ROAD, HANAPEPE, HAWAII 96716, prepared by Muranaka Environmental Consultants,Inc., August 11,1999",
338,117,Confirmed Release,RP-Lead,1991-07-12,VIA CLOSURE REPORT DATED 9/11/91,
339,118,Confirmed Release,RP-Lead,1989-12-21,CALL,
340,118,LUST Cleanup Initiated,RP-Lead,1993-07-15,"Further Phase II Site Characterization Report, Dole Packaged Foods Company Emulsion Plant Facility, 750 Fraser Avenue, Lanai City,Lanai Hawaii,  Facility ID 9-402424, Leak ID 900128, dated July 13, 1993 and prepared by Brewer Environmental Services.",
341,118,Exposure Prevention Management Plan,RP-Lead,2005-06-17,,
342,119,LUST Cleanup Initiated,RP-Lead,1993-01-06,SOIL STOCKPILED/REMOVED DURING R,
343,119,Confirmed Release,RP-Lead,1993-01-06,LAB RESULTS FROM REMOVAL,
344,119,Site Cleanup Completed (NFA),RP-Lead,1993-05-17,,
345,120,Confirmed Release,RP-Lead,1992-06-02,,
346,120,LUST Cleanup Initiated,RP-Lead,2001-06-12,closure report received on 6/12/01,
347,120,Site Cleanup Completed (NFA),RP-Lead,2002-02-15,NFA U02043MS,
348,121,Confirmed Release,RP-Lead,1992-10-08,,
