CounterID,EventID,Status,Lead,StatusDate,LUSTStatusCommentsText,ProjectOfficer
6528,1534,Exposure Prevention Management Plan,RP-Lead,2007-05-07,annual report exposure prevention management dated 5/2/2007,Shaobin Li
6529,395,Site Assessment Completed (delineated),RP-Lead,2006-10-13,"Tier 1 Environmental Risk Assessment, Laie Service Station, 55-506 Kamehameha Highway, Laie, Hawaii (bound copy and CD), dated October 13, 2006.",Josh Nagashima
6530,1441,Exposure Prevention Management Plan,RP-Lead,2008-02-13,"Tier 2 Site-Specific Soil Action Level Compliance Report, ABC Store #47, 3511 Lower Honoapiilani Highway, Honokowai, Maui, Hawaii,” dated February 13, 2008",Shaobin Li
6532,2076,Disconfirmed Release,RP-Lead,2008-09-16,Release was contained in double-walled piping.,Josh Nagashima
6534,2120,LUST Cleanup Initiated,RP-Lead,2008-01-02,,Shunsheng Fu
6535,2181,Confirmed Release,RP-Lead,2008-09-22,Rpt dated 10/96 reports discovery of product,Josh Nagashima
6536,2182,Confirmed Release,RP-Lead,2008-09-22,TPH-d & PAH's detected below T1,Josh Nagashima
6537,1663,Active Remediation,RP-Lead,2007-10-18,"removal of 20 cubic yard of impacted soil (07/13/07, report)",Shaobin Li
6538,1092,Exposure Prevention Management Plan,RP-Lead,2007-01-24,"Tier 1 environmental risk assessment report for Daiei, dated May 8, 2006.",Shaobin Li
6539,1212,Exposure Prevention Management Plan,RP-Lead,2007-01-24,"Tier 1 environmental risk assessment report for Daiei, dated May 8, 2006.",Shaobin Li
6540,1987,LUST Cleanup Initiated,RP-Lead,2005-05-16,Removal of soil,Josh Nagashima
6541,1926,LUST Cleanup Initiated,RP-Lead,2004-03-31,,Josh Nagashima
6542,2129,Site Assessment Ongoing,RP-Lead,2008-07-14,PHASE II Env assessment rept dated 5/2008,Shaobin Li
6543,2005,LUST Cleanup Initiated,RP-Lead,2006-11-09,,Shaobin Li
6544,2137,Site Assessment Ongoing,RP-Lead,2008-07-14,PHASE II Env assessment rept dated 4/2008,Shaobin Li
6545,2542,Site Assessment Ongoing,RP-Lead,2008-07-14,PHASE II Env assessment rept dated 4/2008,Shaobin Li
6546,303,Exposure Prevention Management Plan,RP-Lead,2003-01-30,"Report, 2002 Fourth Quarter, (EPMP),dated January 30, 2003, and prepared by Environmental Technical Services.",Shaobin Li
6547,1011,Site Assessment Ongoing,RP-Lead,2007-08-21,"August 21, 2007 Tier 2 Risk Report.",Shaobin Li
6548,587,Site Assessment Ongoing,RP-Lead,2007-11-02,site investigation rept dated 4/2/2004,Shaobin Li
6550,1894,Active Remediation,RP-Lead,2003-12-08,impacted soil overexcavation &product recovery,Shaobin Li
6551,2131,Site Assessment Ongoing,RP-Lead,2008-08-29,,Shaobin Li
6552,2153,Site Assessment Ongoing,RP-Lead,2008-07-14,PHASE II Env assessment rept,Shaobin Li
6554,1850,Site Assessment Ongoing,RP-Lead,2002-03-27,,Shaobin Li
6555,2181,LUST Cleanup Initiated,RP-Lead,2008-09-22,,Josh Nagashima
6556,2181,Site Cleanup Completed (NFA),RP-Lead,2008-10-08,Nothing above T1,Josh Nagashima
6557,2182,LUST Cleanup Initiated,RP-Lead,2008-09-22,,Josh Nagashima
6558,2182,Site Cleanup Completed (NFA),RP-Lead,2008-10-08,No contaminants above T1,Josh Nagashima
6559,1318,LUST Cleanup Initiated,RP-Lead,1998-06-08,,To DERA
6560,1318,Site Cleanup Completed (NFA),RP-Lead,1998-12-14,,To DERA
6562,2110,Site Cleanup Completed (NFA),RP-Lead,2008-10-07,"DOH letter dated October 7, 2008 (U1011SL)",Shaobin Li
6563,1663,Site Cleanup Completed with EHE/EHMP,RP-Lead,2008-10-08,"DOH letter dated October 8, 2008(U1015SL)",Shaobin Li
6564,1412,Site Cleanup Completed (NFA),RP-Lead,2008-09-03,Date of NFA letter (U0909DP).,Darren Park
6565,265,Monitored Natural Attenuation,RP-Lead,2008-10-30,"June 6, 2008 report",Shaobin Li
6566,851,LUST Cleanup Initiated,RP-Lead,1998-11-23,,To HEER
6567,851,Site Cleanup Completed (NFA),RP-Lead,1998-11-23,by HEER office,To HEER
6568,117,Monitored Natural Attenuation,RP-Lead,2005-12-01,"groundwater data from June 1999 to December 2005 as reported by ETC,",Shaobin Li
6569,2183,Confirmed Release,RP-Lead,2008-11-04,call to rox,Shunsheng Fu
6570,2184,Confirmed Release,RP-Lead,2008-10-10,10/10/2008 ust was discosvered during construction activities - rk,Shaobin Li
6571,395,Site Cleanup Completed with EHMP,RP-Lead,2008-10-31,Point soil contamination & minor gw contamination remains,Josh Nagashima
6572,2178,LUST Cleanup Initiated,RP-Lead,2008-09-11,Closure Report,Darren Park
6573,2171,LUST Cleanup Initiated,RP-Lead,2008-09-02,Closure report.,Darren Park
6574,2185,Confirmed Release,RP-Lead,2008-10-28,,Richard Takaba
6575,1634,Site Cleanup Completed (NFA),RP-Lead,2008-10-31,,Shunsheng Fu
6576,2144,LUST Cleanup Initiated,RP-Lead,2008-07-01,,Shunsheng Fu
6577,2144,Site Cleanup Completed (NFA),RP-Lead,2008-10-22,,Shunsheng Fu
6578,1114,Site Cleanup Completed (NFA),RP-Lead,2008-10-22,,Shunsheng Fu
6579,1327,Site Cleanup Completed (NFA),RP-Lead,2008-10-22,,Shunsheng Fu
6581,2186,Confirmed Release,RP-Lead,2008-11-18,11/12/2008 release is from tank 0973B,Darren Park
6582,2167,LUST Cleanup Initiated,RP-Lead,2008-09-29,Date of Initial Release Response Report,Darren Park
6583,2187,Confirmed Release,RP-Lead,2008-11-19,0.025 mg/kg Xylenes only,
6584,2187,LUST Cleanup Initiated,RP-Lead,2008-11-19,,
6585,328,Site Assessment Ongoing,RP-Lead,2005-11-29,,Josh Nagashima
6586,942,Site Assessment Ongoing,RP-Lead,2002-03-01,,Josh Nagashima
6587,17,Site Assessment Ongoing,RP-Lead,2002-10-01,,Josh Nagashima
6588,406,Site Assessment Ongoing,RP-Lead,2004-12-20,,Josh Nagashima
6589,2096,Monitored Natural Attenuation,RP-Lead,2009-01-26,,Josh Nagashima
6590,2188,Confirmed Release,RP-Lead,2008-11-20,unleaded gas release,Shunsheng Fu
6591,2189,Confirmed Release,RP-Lead,2008-08-01,from overtruned drums,Richard Takaba
6592,765,Monitored Natural Attenuation,RP-Lead,1998-06-15,GW monitoring,Richard Takaba
6593,1059,Monitored Natural Attenuation,RP-Lead,1998-06-15,GW monitoring,Richard Takaba
6595,2178,Site Cleanup Completed (NFA),RP-Lead,2008-11-17,Date of NFA letter,Darren Park
6596,2171,Site Cleanup Completed (NFA),RP-Lead,2008-11-17,Date of NFA letter,Darren Park
6597,1449,Monitored Natural Attenuation,RP-Lead,2012-06-15,,Richard Takaba
6598,1758,Site Assessment Ongoing,RP-Lead,2001-02-28,,Josh Nagashima
6599,1987,Site Cleanup Completed (NFA),RP-Lead,2008-12-05,,Josh Nagashima
6600,518,Monitored Natural Attenuation,RP-Lead,2008-12-15,,Richard Takaba
6602,587,Site Cleanup Completed (NFA),RP-Lead,2008-12-17,"DOH NFA letter dated November 17, 2008(U1114SLI)",Shaobin Li
6603,2019,Exposure Prevention Management Plan,RP-Lead,2008-09-08,,Shaobin Li
6604,1997,Case Transferred to HEER (DERA),RP-Lead,2009-01-05,,Josh Nagashima
6605,1926,Case Transferred to HEER (DERA),RP-Lead,2008-07-22,"6/22/2011 -- note the date the  letter transferring to HEER Office by UST is  1/5/2009  but HEER Office  already nfa in 2008 . in 0rder for the database to show nfa for the site, put date of 7/22/2008 as transfer to heer office- rk",Josh Nagashima
6606,1983,Site Cleanup Completed (NFA),RP-Lead,2008-12-16,"DOH nfa letter dated December 16, 2008(U1213RT)",Shaobin Li
6607,2042,Site Assessment Completed (delineated),RP-Lead,2008-10-08,10/8/2008 rec site characteriation to determine vertical and horizontal,Shaobin Li
6609,2543,Confirmed Release,RP-Lead,2009-01-19,call to roxanne,Shaobin Li
6610,2196,Confirmed Release,RP-Lead,2009-02-04,Report dated April 2000,Josh Nagashima
6611,2196,Site Assessment Completed (delineated),RP-Lead,2009-02-04,,Josh Nagashima
6612,1005,Monitored Natural Attenuation,RP-Lead,2009-01-23,,Shaobin Li
6613,589,Site Cleanup Completed (NFA),RP-Lead,2008-11-03,,Shaobin Li
6614,1755,Site Cleanup Completed (NFA),RP-Lead,2008-11-03,,Shaobin Li
6615,796,Site Cleanup Completed (NFA),RP-Lead,2009-02-04,Date of NFA letter. -DP,Darren Park
6616,580,Site Cleanup Completed (NFA),RP-Lead,2009-02-04,Date of NFA letter.,Darren Park
6617,2187,Site Cleanup Completed (NFA),RP-Lead,2009-02-11,,Josh Nagashima
6618,1950,LUST Cleanup Initiated,RP-Lead,2005-10-25,,Josh Nagashima
6619,1950,Site Cleanup Completed (NFA),RP-Lead,2009-02-09,,Josh Nagashima
6620,117,Site Cleanup Completed (NFA),RP-Lead,2008-10-30,"Conditional NFA letter dated October 30, 2008 (U1041SL)",Shaobin Li
6621,2132,LUST Cleanup Initiated,RP-Lead,2008-09-30,,Shunsheng Fu
6622,2132,Site Cleanup Completed (NFA),RP-Lead,2009-02-09,,Shunsheng Fu
6623,2069,LUST Cleanup Initiated,RP-Lead,2008-06-01,,Shunsheng Fu
6624,2069,Site Cleanup Completed (NFA),RP-Lead,2008-11-25,,Shunsheng Fu
6625,2116,LUST Cleanup Initiated,RP-Lead,2008-11-08,,Shunsheng Fu
6626,1111,Site Cleanup Completed (NFA),RP-Lead,2009-02-04,NFA letter U0207RT,Richard Takaba
6627,252,Site Cleanup Completed with EHMP,RP-Lead,2000-01-28,Date of HEER Office Conditional NFA Letter,To HEER
6628,299,LUST Cleanup Initiated,RP-Lead,1992-10-01,do not know the exact date,To HEER
6629,2042,Monitored Natural Attenuation,RP-Lead,2008-10-21,0/21/2008 2nd semi annual gw monitoring rept dated 10/2008,Shaobin Li
6630,299,Site Cleanup Completed (NFA),RP-Lead,1995-03-31,by the HEER office,To HEER
6631,2128,Site Cleanup Completed (NFA),RP-Lead,2009-02-09,Date of HEER Office NFA letter 2009-082-SPM,Darren Park
6632,1984,Remedy Decision Pending (ongoing monitoring),RP-Lead,2008-11-06,9/2008 semi annual gw monitoring rept,Shaobin Li
