Compliance Count ID,Compliance ID,StateSectionNumber,OriginalPenalty,FinalPenalty,SOCType,ComplianceDetailCommentsText,ViolationWithdrawn,ViolationResolved
355,352,,,0.0,,None: 2/98 DRAFTING INSPECTION LETTER,False,False
73,72,,,0.0,,Written Warning: U07088AEJ - ALSO REQUESTED NOTIFICATION FORM-RK  12/20 RECEIVED NOTIFICATION FORM - RK,False,False
74,73,,,0.0,,Written Warning: U07046AEJ,False,False
75,74,,,0.0,,Written Warning: U09012AEJ; 1/7/2000 RECEIVED NOTIFICATION FORM USTS REMOVED - RK,False,False
76,75,,,0.0,,Written Warning,False,False
77,76,,,0.0,,Written Warning: U07052AEJ,False,False
78,77,,,0.0,,Written Warning: U0749AEJ,False,False
79,78,,,0.0,,Written Warning: U07054AEJ,False,False
80,79,,,0.0,,Written Warning: U07053AEJ,False,False
81,80,,,0.0,,Written Warning: TOU letter   10/14/98 4 USTS REMOVED-RK,False,False
82,81,,,0.0,,Written Warning: 11/2/99 RECEIVED CLOSURE REPT - RK,False,False
83,82,,,0.0,,"None: 3/5/99 RECEIVED NOTIFICATION FOR THE CLOSURE OF UST 1.  STILL WAITING FOR NOTIFICATION FORM FOR UST2 - RK
1/18/2000 RECEIVED NOTIFICATION FORM FOR UST 2 - RK",False,False
84,83,,,0.0,,Field Citation: VIOLATIONS FOUND BUT NO FINES ISSUED - RK,False,False
85,84,,,0.0,,Written Warning: USTS REMOVED - RK,False,False
86,85,,,0.0,,Written Warning: U0566RT,False,False
87,86,,,0.0,,Written Warning,False,False
88,87,,,0.0,,Written Warning: 9/15/98 RECEIVED CC LTR FROM DAMON ESTATE ASKING LILY S. SAKAI TO SUBMIT WRITTEN PLAN BY 9/15/98 TO DAMON ESTATE-RK,False,False
89,88,,,0.0,,Written Warning,False,False
90,89,,,0.0,,Field Citation,False,False
91,90,,,0.0,,Written Warning: 5/30/97 U0544RT; U09791RT,False,False
92,91,,,0.0,,Written Warning: U07065AEJ; 1/5/2000 RECIEVED INSP LETTER - RK,False,False
93,92,,,0.0,,Written Warning: U0685RT,False,False
94,93,,,0.0,,Written Warning: USTS REMOVED - RK,False,False
95,94,,,0.0,,"None: CITATION PENDING.  WAITING FOR MORE INFORMATION - RK
7/13/95 USTS REMOVED - RK",False,False
96,95,,,0.0,,Written Warning: U0567RT,False,False
97,96,,,0.0,,"Field Citation: REC'D COPY OF CITATION, FINED 450, TONY ACCOMPANY",False,False
98,97,,,0.0,,"Written Warning: U12050JES - PLAN OF ACTION FOR ALL 4 USTS. -- RK
  1/4/99 SUBMITTED CLOSURE REPT - RK",False,False
99,98,,,0.0,,Written Warning: TOU letter sent.  -RT,False,False
100,99,,,0.0,,Written Warning,False,False
101,100,,,0.0,,Written Warning: 11/2/98 RECEIVED NOTIFICATION FOMR THAT UST REMOVED IN 5/93 - RK,False,False
102,101,,,0.0,,Written Warning: U07064AEJ; 9/17/99 RECEIVED INFORMATION ON THEIR COMPLIANCE WITH CORROSION PROTECTION W/PIPING - RK,False,False
103,102,,,0.0,,"Written Warning: TOU letter, 11/30/98 USTS REMOVED - RK
11/30/98 REC'D CLOSURE REPT WITH RELEASE - RK",False,False
104,103,{2000}  111,150.0,150.0,,"Field Citation: Field Citation $150 - received check for $150 on 9-29-00.  Have not yet come into compliance w/ FR.       9/28/2001 RETURNED EXPIRED CHECK AND REQUESTED THEY REISSUE ANOTHER CHECK - RK

9/29/2000 RECEIVED CHECK ONLY.  -- RK

10/17/2000ᬁর؂_x0013_砇᭴뫠؂ޮ",False,False
106,105,,,0.0,,Written Warning: USTS REMOVED - RK,False,False
107,106,,,0.0,,Written Warning: U1094CL,False,False
108,107,,,0.0,,Field Citation: FINED $150,False,False
109,108,,,0.0,,"Written Warning: U09174JS, 12/11/98 REC'D TANKNOLOGY TEST RESULTS - RK",False,False
110,109,,1150.0,1150.0,,"Field Citation: fined 1150.00, citation #2012   8/9/2000 AND 8/10/2000 RECEIVED ADDITIONAL INFORMATION - RK  

9/6/2000 RECEIVED INFORMATION - RK",False,False
111,110,,,0.0,,"OTHER: NOI ISSUSES
2/9/2001 REC CALL WILL BE CLOSING IN PLACE TANK ON 2/12/2001 UST 87 89 AND 92 - RK
3/16/2001 CERT OF INSURANCE - RK
5/9/2001 REC CLOSURE REPT FOR 10,500, 8,300 AND 5,422 GALLON TANK - RK",False,False
112,111,,,0.0,,Written Warning,False,False
113,112,,,0.0,,Written Warning: U0571RT,False,False
114,113,,,0.0,,Written Warning,False,False
115,114,,,0.0,,No Violation Letter: U08110JS,False,False
116,115,,,0.0,,Written Warning: 5/17/2001 REC CLOSURE REPT AND RELEASE FOUND - RK,False,False
