FacilityID,TankID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
13,6842,1988-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1988.0,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
14,6845,1994-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1994.0,Yes,2,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
15,6856,1990-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1990.0,No,1,PSteel with impressed current,No,Yes,No,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
16,6860,1998-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
18,17143,2011-1-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
18,17144,2011-2-2-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
20,18119,2015-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
20,18120,2015-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
21,6881,1998-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
21,6882,1998-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,Yes,2,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
27,6906,1994-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1994.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
27,6907,1994-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1994.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
27,19224,2021-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
27,19225,2021-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
29,6916,1998-1-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,1998.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
29,6917,1998-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,Yes,2,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
29,6918,2002-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,2002.0,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
