FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
5-000595,REASSIGNED TO 5-000025 - Buzzards Inc,Private Organization,Commercial,,Long Neck Road,,Millsboro,Sussex,19966,DE,3,,,38.624948,-75.143727,Map interpolation,Tunnell,,No,,,,,,,,No,,,,,,,,
5-000596,Smith Property,Person,Commercial,,4471 White Deer Rd,,Delmar,Sussex,19940,DE,3,,,38.4822,-75.6709,Map interpolation,"Smith, Joshua & Imogene ",,No,,,,,,,,No,,,,,,,,
5-000598,Burton Property,Person,Commercial,,7 Shady Road,,Lewes,Sussex,19958,DE,3,,,38.74778,-75.166365,Map interpolation,"Burton, John R",,No,,,,,,,,No,,,,Yes,S9202042,,,
5-000599,LewesSchool,District Organization,School,,820 Savannah Road,,Lewes,Sussex,199581598,DE,3,,,38.768961,-75.146358,Map interpolation,Cape Henlopen School District,,No,,,,,,,,No,,,,Yes,S9909192,,,
5-000600,Confidential Services Inc,Person,Commercial,,1045 Route 1,,Lewes,Sussex,19958,DE,3,,,38.749077,-75.175637,Map interpolation,"Horn, James G",,No,,,,,,,,No,,,,Yes,S9510238,,,
5-000601,Used Car Lot,Private Organization,Auto dealership/auto maintenance & repair,,501 High Street,,Seaford,Sussex,19973,DE,3,,,38.641637,-75.60909,Map interpolation,Usha Reddy,,No,,,,,,,,No,,,,Yes,S9306102,,,
5-000602,Steel Tech Fabricators Co,Private Organization,Industrial,,9317 Old Racetrack Rd,,Delmar,Sussex,19940,DE,3,,,38.4647,-75.5781,Map interpolation,Steel Tech Fabricators,,No,,,,,,,,No,,,,Yes,S9211246,,,
5-000605,Banning Property,Person,Residential,,101 John St,,Bridgeville,Sussex,19933,DE,3,,,38.7447,-75.5996,Map interpolation,"Banning, Harry C",,No,,,,,,,,No,,,,Yes,S9111269,,,
5-000610,US Naval Reserve,Federal Organization,Aviation/Aiport,,37565 Dune Road,,Lewes,Sussex,19958,DE,3,,,38.7715,-75.0873,Map interpolation,US Naval Station,,No,,,,,,,,No,,,,,,,,
5-000611,Jamieson Dock,Person,Commercial,,627 Pilottown Road,,Lewes,Sussex,19958,DE,3,,,38.784302,-75.156652,Map interpolation,"Jamieson, Frank S",,No,,,,,,,,No,,,,,,,,
5-000613,Murphys Marina,Person,Marina,,62 West Lagoon Road,,Dagsboro,Sussex,19939,DE,3,,,38.566611,-75.185127,Map interpolation,"Cooper, Tina & Ronald ",,No,,,,,,,,No,,,,Yes,S8811067,,,
5-000614,Charles H Wilkerson,Person,Commercial,,29070 Cedar St,,Milford,Sussex,19963,DE,3,,,38.8544,-75.2439,Map interpolation,"Wilkerson, Charles H",,No,,,,,,,,No,,,,Yes,S9212283,,,
5-000616,Seaford Middle School,District Organization,School,, 500 E Stein Highway,,Seaford,Sussex,19973,DE,3,,,38.6485,-75.6126,Map interpolation,Seaford School District,,No,,,,,,,,No,,,,Yes,S9908162,,,
5-000622,Selbyville Waste Water Plant,Local Organization,Industrial,,37619 Wastewater Ln,,Selbyville,Sussex,19975,DE,3,,,38.4711,-75.2195,Map interpolation,Town of Selbyville,,No,,,,,,,,No,,,,,,,,
5-000623,Republican Headquarters,Person,Commercial,,135 E Market St,,Georgetown,Sussex,19947,DE,3,,,38.6916,-75.3844,Map interpolation,"Moore, Ronald W",,No,,,,,,,,No,,,,Yes,S8905234,,,
