facility_id,land_location_id,facility_desc,facilitystatus,created_by,created_date,updated_by,updated_date,tribe_owned,potential_abandoned,state_id_number,icis_number,frs_number
2144,2223,Lodge at Chama,Permanent Closed,dander05,2014-12-17 00:00:00,,,TRUE,,,,
2145,2224,Comanche Nation Quik Stop,Operating,Lthomas,2015-01-16 00:00:00,,,TRUE,,,,
2146,2225,Chevron,Permanent Closed,Jwomack,2000-09-05 00:00:00,,,FALSE,,,,
2147,2226,Ioway Travel Plaza,Operating,dander05,2015-02-04 00:00:00,,,TRUE,,,,
2148,2227,FireLake Express 2,Operating,DEBUG,2015-03-19 00:00:00,,,TRUE,,,,
2149,2228,Smith's Food and Drug #426,Operating,dander05,2015-06-01 00:00:00,,,FALSE,,,,
2150,2229,Santa Clara C Store 2 (Previously Big Rock),Operating,Lthomas,2015-03-23 00:00:00,,,TRUE,,,,
2151,2230,Giant #6082,Operating,Lthomas,2015-04-06 00:00:00,,,FALSE,,,,
2152,2231,Hammon Travel Center,Operating,Lthomas,2015-09-28 00:00:00,,,TRUE,,,,
2153,2232,Choctaw Travel Plaza Antlers,Operating,jridley,2015-12-03 00:00:00,,,TRUE,,,,
2154,2233,Mountain View Grocery,Permanent Closed,Jwomack,2000-09-05 00:00:00,,,FALSE,,,,
2155,2234,Laguna Bus Barn (Grants-Cibola Cnty School Maint. Yd.),Permanent Closed,DEBUG,2016-01-28 00:00:00,,,FALSE,,,,
2156,2235,Feather Fuel,Operating,Lthomas,2020-04-09 00:00:00,,,TRUE,,,,
2157,2236,Buffalo Run,Operating,Lthomas,2016-04-04 00:00:00,,,TRUE,,,,
2158,2237,Lucky Star Casino,Operating,Lthomas,2016-05-23 00:00:00,,,TRUE,,,,
2159,2238,Ohkay Express Mart,Temporary Closed,dander05,2014-10-01 00:00:00,RSNAVELY,2023-04-20 09:23:34,TRUE,,,,
2160,2239,Caddo Nation Travel Plaza,Operating,jridley,2016-08-30 00:00:00,,,TRUE,,,,
2161,2240,One Stop,Operating,jridley,2016-12-08 00:00:00,,,TRUE,,,,
2162,2241,Cherokee Travel Plaza - Roland,Operating,DEBUG,2017-02-14 00:00:00,,,TRUE,,,,
2163,2242,Hugo Travel Plaza,Operating,Lthomas,2017-04-03 00:00:00,,,TRUE,,,,
2164,2243,Choctaw Travel Plaza Stigler,Operating,Lthomas,2017-08-28 00:00:00,,,TRUE,,,,
