land_use_id,land_location_id,land_use_type_id,start_date,end_date,date_observed,land_use_note,created_by,created_date,updated_by,updated_date
61,61,10,,,1989-04-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
62,62,1,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
63,63,1,,,1995-09-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
64,64,1,,,1986-04-10 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
65,65,16,,,1994-02-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
66,66,4,,,1995-09-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
67,67,10,,,1989-07-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
68,68,14,,,1996-01-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
69,69,16,,,2002-06-10 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
70,70,12,,,1986-03-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
71,71,14,,,1989-06-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
72,72,1,,,1993-10-15 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
73,73,12,,,1986-04-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
74,74,1,,,1995-09-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
75,75,1,,,1995-09-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
76,76,14,,,1986-05-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
77,77,14,,,1986-04-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
78,78,14,,,1986-04-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
79,79,14,,,1986-04-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
80,80,1,,,1986-04-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
81,81,1,,,1990-06-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
82,82,1,,,1991-01-10 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
83,83,1,,,1985-10-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
84,84,1,,,1995-11-06 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
85,85,1,,,1986-04-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
86,86,15,,,1988-10-13 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
87,87,13,,,1991-08-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
88,88,1,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
89,89,1,,,1997-12-24 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
90,90,1,,,1986-03-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
91,91,1,,,1995-08-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
92,92,13,,,1989-04-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
93,93,1,,,2001-01-11 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
94,94,1,,,2002-09-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
95,95,1,,,1986-06-16 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
96,96,1,,,1986-04-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
97,97,1,,,1989-07-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
